"fileName";"filePath";"fileType";"size";"sizeText";"description"
"import-config-address.xml";"import-config-address.xml";"text/xml";417;"417 Bytes";"Configuration file to import Addresss based on import-data-address.csv datasource."
"import-data-address.csv";"import-data-address.csv";"text/csv";96;"96 Bytes";"File containing the address data to import using the import-config-address.xml config file as import settings."
"import-config-bank-details.xml";"import-config-bank-details.xml";"text/xml";579;"579 Bytes";"Configuration file to import BankDetails based on import-data-bank-detail.csv datasource."
"import-data-bank-details.csv";"import-data-bank-details.csv";"text/csv";149;"149 Bytes";"File containing the BankDetails data to import using the import-config-bank-detail.xml config file as import settings."
"import-config-candidate.xml";"import-config-candidate.xml";"text/xml";893;"893 Bytes";"Configuration file to import Candidates based on import-data-candidate.csv datasource."
"import-data-candidate.csv";"import-data-candidate.csv";"text/csv";489;"489 Bytes";"File containing the Candidate data to import using the import-config-candidate.xml config file as import settings."
"import-config-city.xml";"import-config-city.xml";"text/xml";417;"417 Bytes";"Configuration file to import cities based on import-data-city.csv datasource."
"import-data-city.csv";"import-data-city.csv";"text/csv";92;"92 Bytes";"File containing the city data to import using the import-config-city.xml config file as import settings."
"import-config-degree.xml";"import-config-degree.xml";"text/xml";421;"421 Bytes";"Configuration file to import Degrees based on import-data-degree.csv datasource."
"import-data-degree.csv";"import-data-degree.csv";"text/csv";18;"18 Bytes";"File containing the degree data to import using the import-config-degree.xml config file as import settings."
"import-config-group.xml";"import-config-group.xml";"text/xml";638;"638 Bytes";"Configuration file to import Groups based on import-data-group.csv datasource."
"import-data-group.csv";"import-data-group.csv";"text/csv";71;"71 Bytes";"File containing the group data to import using the import-config-group.xml config file as import settings."
"import-config-keyword.xml";"import-config-keyword.xml";"text/xml";418;"418 Bytes";"Configuration file to import Keywords based on import-data-keyword.csv datasource."
"import-data-keyword.csv";"import-data-keyword.csv";"text/csv";34;"34 Bytes";"File containing the keyword data to import using the import-config-keyword.xml config file as import settings."
"import-config-lead.xml";"import-config-lead.xml";"text/xml";1000;"1000 Bytes";"Configuration file to import Leads based on import-data-lead.csv datasource."
"import-data-lead.csv";"import-data-lead.csv";"text/csv";409;"409 Bytes";"File containing the lead data to import using the import-config-lead.xml config file as import settings."
