"importId";"name"
1;"Agroalimentaire"
2;"Banque / Assurance"
3;"Bois / Papier / Carton / Imprimerie"
4;"BTP / Matériaux de construction"
5;"Chimie / Parachimie"
6;"Commerce / Négoce / Distribution"
7;"Edition / Communication / Multimédia"
8;"Electronique / Electricité"
9;"Etudes et conseils"
10;"Industrie pharmaceutique"
11;"Informatique / Télécoms"
12;"Machines et équipements / Automobile"
13;"Métallurgie / Travail du métal"
14;"Plastique / Caoutchouc"
15;"Services aux entreprises"
16;"Textile / Habillement / Chaussure"
17;"Transports / Logistique"
