"importId";"name";"code";"typeSelect";"usageSelect";"sequence";"isRequired";"valueSet"
"1";"Couleur acceptée";"acceptedColor";"2";"1";"1";"true";""
"2";"Couleur";"currentColor";"2";"2";"1";"true";""
"3";"Dimension nominale";"acceptedDimension";"1";"1";"1";"true";""
"4";"Tolérance min.";"minTolerance";"1";"1";"2";"true";""
"5";"Tolérance max.";"maxTolerance";"1";"1";"3";"true";""
"6";"Dimension mesurée";"mesuredDim";"1";"2";"1";"true";""
"7";"Étiquette requise";"isLabelRequired";"3";"1";"1";"false";""
"8";"Étiquette présente";"isLabelPresent";"3";"2";"1";"false";""
"9";"État extérieur accepté";"acceptedExternalCondition";"4";"1";"1";"true";"1|2|3|4"
"10";"État extérieur observé";"observedExternalCondition";"4";"2";"1";"true";"1|2|3|4"
