"key";"message";"language"
"Commentaire";"Comment";"en"
"Dimension nominale";"Nominal dimension";"en"
"Dimension mesurée";"Measured dimension";"en"
"Tolérance min.";"Min tolerance";"en"
"Tolérance max.";"Max tolerance";"en"
"Étiquette requise";"Label required";"en"
"Étiquette présente";"Label present";"en"
"État extérieur accepté";"Accepted external condition";"en"
"État extérieur observé";"Observed external condition";"en"
"Présence d'étiquette";"Label presence";"en"
"État extérieur";"External condition";"en"
"Neuf";"Brand new";"en"
"Bon état";"Good condition";"en"
"Rayé";"Scratched";"en"
"Endommagé";"Damaged";"en"
