"importId";"code";"parent_code";"name";"accountType.importId";"isRegulatoryAccount";"commonPosition";"reconcileOk";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"defaultTaxSet";"vatSystemSelect";"isRetrievedOnPaymentSession";"serviceType.code";"manageCutOffPeriod";"hasAutomaticApplicationAccountingDate";"analyticDistributionAuthorized";"analyticDistributionRequiredOnInvoiceLines";"analyticDistributionRequiredOnMoveLines";"analyticDistributionTemplate.importId";"statusSelect";"company.importId"
1;0;;"Racine PCG";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
2;"CL1_5";0;"Comptes de bilan";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
3;"CL6_7";0;"Comptes de gestion";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
4;"CL1";"CL1_5";"Comptes de capitaux";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
5;"CL2";"CL1_5";"Comptes d'immobilisations";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
6;"CL3";"CL1_5";"Comptes de stocks et d'en-cours";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
7;"CL4";"CL1_5";"Comptes de tiers";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
8;"CL5";"CL1_5";"Comptes financiers";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
9;"CL6";"CL6_7";"Comptes de charges";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
10;"CL7";"CL6_7";"Comptes de produits";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
11;"CL8";0;"Comptes spéciaux";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
12;100;"CL1";"Capital et réserves";"FRA_PCG0";"true";0;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
13;101000;100;"Capital";"FRA_PCG210";"true";2;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
14;101100;101000;"Capital souscrit - non appelé";"FRA_PCG210";"true";2;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
15;101200;101000;"Capital souscrit - appelé, non versé";"FRA_PCG210";"true";2;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
16;101300;101000;"Capital souscrit - appelé, versé";"FRA_PCG210";"true";1;;;;;;;0;"false";"NDAS";"false";;;;;;1;1
