"importId";"code";"name";"note"
1;"VATEX-EU-AE";"Autoliquidation (transfert de TVA)";"Autoliquidation de TVA - Art. 283-2 du CGI / Art. 196 de la Directive TVA 2006/112/CE"
2;"VATEX-EU-IC";"Livraison intracommunautaire exonérée";"Exonération de TVA - Livraison intracommunautaire - Art. 262 ter I du CGI / Art. 138 de la Directive TVA 2006/112/CE"
3;"VATEX-EU-G";"Exportation hors Union Européenne";"Exonération de TVA - Exportation - Art. 262-I du CGI / Art. 146 de la Directive TVA 2006/112/CE"
4;"VATEX-EU-O";"Hors champ d'application de la TVA";"Opération hors champ d'application de la TVA - Art. 2 de la Directive TVA 2006/112/CE"
5;"VATEX-EU-132";"Exonération article 132 - Directive TVA";"Exonération de TVA - Art. 261 et s. du CGI / Art. 132 de la Directive TVA 2006/112/CE (santé, éducation, action sociale)"
6;"VATEX-EU-143";"Exonération à l'importation - article 143";"Exonération de TVA à l'importation - Art. 143 de la Directive TVA 2006/112/CE"
7;"VATEX-EU-148";"Exonération transports internationaux";"Exonération de TVA - Transports internationaux - Art. 148 de la Directive TVA 2006/112/CE"
8;"VATEX-EU-151";"Exonération organismes internationaux";"Exonération de TVA - Organismes internationaux et missions diplomatiques - Art. 151 de la Directive TVA 2006/112/CE"
9;"VATEX-EU-309";"Exonération Directive 2009/132/CE";"Exonération de TVA - Art. 294 du CGI / Directive 2009/132/CE (livraisons vers DOM-TOM et importations sous seuil)"
10;"FR-293B";"Franchise en base de TVA";"TVA non applicable - Art. 293 B du CGI"
11;"FR-AUTOLIQ-IMMO";"Autoliquidation - travaux immobiliers";"Autoliquidation de TVA - Prestations de travaux de construction ou de rénovation - Art. 283-2 quater du CGI"
