"importId";"technicalTypeSelect";"name";"isManageSubsidiaryAccount"
1;"asset";"Actif";"false"
2;"cash";"Liquidités";"false"
3;"commitment";"Engagements";"false"
4;"currentAsset";"Actif courant";"false"
5;"debt";"Dettes";"true"
6;"equity";"Capitaux";"false"
7;"charge";"Charges";"false"
8;"immobilisation";"Immobilisations";"false"
9;"income";"Produits";"false"
10;"payable";"Fournisseurs";"true"
11;"provision";"Provisions";"false"
12;"receivable";"Clients";"true"
13;"special";"Spéciaux";"false"
14;"tax";"Taxes";"false"
15;"view";"Vues";"false"
