"importId";"n4dsCode";"name";"code";"isDas2Declarable"
1;;"Non soumis au DAS2";"NDAS";"false"
2;"01";"Honoraires";"HONO";"true"
3;"02";"Commissions";"COMM";"true"
4;"03";"Courtages";"COUR";"true"
5;"04";"Ristournes";"RIST";"true"
6;"05";"Jetons de présence";"JETO";"true"
7;"06";"Droits d’auteurs";"DAUT";"true"
8;"07";"Droits d’inventeurs";"DINV";"true"
9;"08";"Autres rémunérations";"AREM";"true"
10;"09";"Avantages en nature";"ANAT";"true"
11;"10";"Indemnités/Remboursements";"IDTR";"true"
12;"11";"Retenue à la source";"RSOU";"true"
13;"12";"Frais exposés pour compte du bénéficiaire";"FRAI";"true"
14;"13";"Collectif DAS2";"DAS2";"false"
