"importId";"code";"name"
1;"AAB";"Mention d'escompte"
2;"AAI";"Information générale"
3;"ABL";"Informations légales du vendeur (RCS,SIREN, APE)"
4;"ACC";"Clause de subrogation (affacturage)"
5;"ADN";"Permet d'indiquer le fait que la facture relève des obligations B2G en France"
6;"BAR";"Nature du traitement"
7;"BAQ";"Motif d'exemption de TVA"
8;"BLU";"Eco-participation (DEEE)"
9;"PMT";"Indemnité forfaitaire de recouvrement (40€)"
10;"PMD";"Mention des pénalités de retard"
11;"REG";"Informations légales"
12;"SUR";"Remarques fournisseur"
