"importId";"project.importId";"projectTask.importId";"startDateTime";"endDateTime";"plannedTime";"timeUnit.importId";"product.importId";"employee_importId";"displayPlannedTime";"displayTimeUnit.importId"
1;demo_project_13;demo_project_task_13_0;"NOW";"NOW[+1d]";"1";103;410;19;1;103
2;demo_project_13;demo_project_task_13_0;"NOW[+1d]";"NOW[+2d]";"1";103;410;19;1;103
3;demo_project_13;demo_project_task_13_0;"NOW[+2d]";"NOW[+3d]";"1";103;410;19;1;103
4;demo_project_13;demo_project_task_13_0;"NOW[+3d]";"NOW[+4d]";"1";103;410;19;1;103
5;demo_project_13;demo_project_task_13_0;"NOW[+4d]";"NOW[+5d]";"1";103;410;19;1;103
6;demo_project_13;demo_project_task_13_1;"NOW";"NOW[+1d]";"1";103;411;5;1;103
7;demo_project_13;demo_project_task_13_1;"NOW[+1d]";"NOW[+2d]";"1";103;411;5;1;103
8;demo_project_13;demo_project_task_13_1;"NOW[+2d]";"NOW[+3d]";"1";103;411;5;1;103
9;demo_project_13;demo_project_task_13_1;"NOW[+3d]";"NOW[+4d]";"1";103;411;5;1;103
10;demo_project_13;demo_project_task_13_1;"NOW[+4d]";"NOW[+5d]";"1";103;411;5;1;103
11;demo_project_13;demo_project_task_13_2;"NOW";"NOW[+1d]";"7";101;412;4;7;101
12;demo_project_13;demo_project_task_13_2;"NOW[+1d]";"NOW[+2d]";"7";101;412;4;7;101
13;demo_project_13;demo_project_task_13_3;"NOW";"NOW[+1d]";"1";103;413;5;1;103
14;demo_project_13;demo_project_task_13_3;"NOW[+1d]";"NOW[+2d]";"1";103;413;5;1;103
15;demo_project_13;demo_project_task_13_3;"NOW[+2d]";"NOW[+3d]";"1";103;413;5;1;103
16;demo_project_13;demo_project_task_13_3;"NOW[+3d]";"NOW[+4d]";"1";103;413;5;1;103
17;demo_project_13;demo_project_task_13_3;"NOW[+4d]";"NOW[+5d]";"1";103;413;5;1;103
18;demo_project_14;demo_project_task_14_0_sub_0;"NOW";"NOW[+1d]";"0.57";103;410;1;0.57;103
19;demo_project_14;demo_project_task_14_0_sub_0;"NOW[+1d]";"NOW[+2d]";"0.57";103;410;1;0.57;103
20;demo_project_14;demo_project_task_14_0_sub_0;"NOW[+2d]";"NOW[+3d]";"0.57";103;410;1;0.57;103
21;demo_project_14;demo_project_task_14_0_sub_0;"NOW[+3d]";"NOW[+4d]";"0.57";103;410;1;0.57;103
22;demo_project_14;demo_project_task_14_0_sub_0;"NOW[+4d]";"NOW[+5d]";"0.57";103;410;1;0.57;103
23;demo_project_14;demo_project_task_14_0_sub_1;"NOW";"NOW[+1d]";"0.43";103;410;1;0.43;103
24;demo_project_14;demo_project_task_14_0_sub_1;"NOW[+1d]";"NOW[+2d]";"0.43";103;410;1;0.43;103
25;demo_project_14;demo_project_task_14_0_sub_1;"NOW[+2d]";"NOW[+3d]";"0.43";103;410;1;0.43;103
26;demo_project_14;demo_project_task_14_0_sub_1;"NOW[+3d]";"NOW[+4d]";"0.43";103;410;1;0.43;103
27;demo_project_14;demo_project_task_14_0_sub_1;"NOW[+4d]";"NOW[+5d]";"0.43";103;410;1;0.43;103
28;demo_project_14;demo_project_task_14_2_sub_0;"NOW";"NOW[+1d]";"2";101;412;12;2;101
29;demo_project_14;demo_project_task_14_2_sub_0;"NOW[+1d]";"NOW[+2d]";"2";101;412;12;2;101
30;demo_project_14;demo_project_task_14_2_sub_1;"NOW";"NOW[+1d]";"5";101;412;12;5;101
31;demo_project_14;demo_project_task_14_2_sub_1;"NOW[+1d]";"NOW[+2d]";"5";101;412;12;5;101
