"importId";"year";"date";"eventsPlanning.importId";"description"
1;2014;"2014-01-01";1;"New Year's Day"
2;2014;"2014-04-18";1;"Good Friday"
3;2014;"2014-04-21";1;"Easter Monday"
4;2014;"2014-05-05";1;"Early May bank holiday"
5;2014;"2014-05-26";1;"Spring bank holiday"
6;2014;"2014-08-25";1;"Summer bank holiday"
7;2015;"2015-12-25";1;"Christmas Day"
8;2015;"2015-12-26";1;"Boxing Day"
9;2015;"2015-01-01";1;"New Year's Day"
10;2015;"2015-04-03";1;"Good Friday"
11;2015;"2015-04-06";1;"Easter Monday"
12;2015;"2015-05-04";1;"Early May bank holiday"
13;2015;"2015-05-25";1;"Spring bank holiday"
14;2015;"2015-08-31";1;"Summer bank holiday"
15;2015;"2015-12-25";1;"Christmas Day"
16;2015;"2015-12-28";1;"Boxing Day"
