"kilometricAllowanceRate.importId";"rate";"minimumCondition";"maximumCondition"
"1";"0.451";0;5000
"1";"0.27";5000;20000
"1";"0.315";20000;999999999
"2";"0.451";0;5000
"2";"0.27";5000;20000
"2";"0.315";20000;999999999
"3";"0.518";0;5000
"3";"0.291";5000;20000
"3";"0.349";20000;999999999
"4";"0.543";0;5000
"4";"0.305";5000;20000
"4";"0.364";20000;999999999
"5";"0.568";0;5000
"5";"0.32";5000;20000
"5";"0.382";20000;999999999
"6";"0.595";0;5000
"6";"0.337";5000;20000
"6";"0.401";20000;999999999
"7";"0.595";0;5000
"7";"0.337";5000;20000
"7";"0.401";20000;999999999
"8";"0.338";0;3000
"8";"0.084";3000;6000
"8";"0.211";6000;999999999
"9";"0.338";0;3000
"9";"0.084";3000;6000
"9";"0.211";6000;999999999
"10";"0.4";0;3000
"10";"0.07";3000;6000
"10";"0.235";6000;999999999
"11";"0.4";0;3000
"11";"0.07";3000;6000
"11";"0.235";6000;999999999
"12";"0.4";0;3000
"12";"0.07";3000;6000
"12";"0.235";6000;999999999
"13";"0.518";0;3000
"13";"0.067";3000;6000
"13";"0.292";6000;999999999
"14";"0.269";0;2000
"14";"0.063";2000;5000
"14";"0.146";5000;999999999
