"comments";"leaveLine.importId";"value";"date";"fromDate";"toDate";"user.importId"
"Leave";1;12;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";2;52;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";3;45;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";4;5;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";5;4;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";6;23;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";7;75;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";8;11;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";9;14;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";10;10;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";11;1;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";12;31;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";13;27;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";14;16;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";15;21;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";16;9;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";17;13;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
"Leave";18;8;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]";1
