"importId";"name";"roles.name"
587;"menu-quality-root";"Admin"
588;"quality-controls-root";"Admin"
589;"quality-processes";"Admin"
590;"quality-controls";"Admin"
591;"quality-control-points";"Admin"
592;"quality-alerts";"Admin"
593;"quality-calendar";"Admin"
594;"quality-alert-calendar";"Admin"
595;"quality-control-calendar";"Admin"
596;"quality-reportings";"Admin"
597;"quality-reportings-dashboard";"Admin"
598;"quality-configurations";"Admin"
599;"quality-teams";"Admin"
600;"quality-root-causes";"Admin"
601;"quality-tags";"Admin"
602;"quality-control-point-type";"Admin"
