"name";"roles"
"menu-products-dashboard-1";"Supplychain Manager|Supplychain User|Supplychain Read"
"stock-multi-purchase-invoicing";"Supplychain Manager|Supplychain User|Supplychain Read"
"stock-multi-sale-invoicing";"Supplychain Manager|Supplychain User|Supplychain Read"
"admin-root-batch-supplychain";"Supplychain Manager"
"stock-mrp";"Supplychain Manager|Supplychain User|Supplychain Read"
"stock-mrp-calculation";"Supplychain Manager|Supplychain User|Supplychain Read"
"stock-mrp-forecast";"Supplychain Manager|Supplychain User|Supplychain Read"
"stock-mrp-configuration";"Supplychain Manager"
"stock-mrp-configuration-mrp-line-type";"Supplychain Manager"
"invoice-root-subscription-invoice";"Supplychain Manager|Supplychain User|Supplychain Read"
"top-menu-purchase-suparrivals";"Supplychain Manager|Supplychain User|Supplychain Read"
"top-menu-sales-custdeliveries";"Supplychain Manager|Supplychain User|Supplychain Read"
