"processInstanceId","methodName","className","name","importId"
"","name","name","Name.name","1"
"","firstName","name","Name.firstName","2"
"","lastName","name","Name.lastName","3"
"","fullName","name","Name.fullName","4"
"","streetAddress","address","Address.streetAddress","5"
"","fullAddress","address","Address.fullAddress","6"
"","city","address","Address.city","7"
"","zipCode","address","Address.zipCode","8"
"","name","company","Company.name","9"
"","creditCard","finance","Finance.creditCard","10"
"","iban","finance","Finance.iban","11"
"","emailAddress","internet","Internet.emailAddress","12"
"","cellPhone","phoneNumber","PhoneNumber.cellPhone","13"
"","phoneNumber","phoneNumber","PhoneNumber.phoneNumber","14"
