"metaModel";"metaField";"anonymizer_importId";"useFakeData";"fakerApiField.name"
"SaleOrder";"mainInvoicingAddressStr";"6";"true";"address.fullAddress"
"SaleOrder";"cancelReasonStr";"6";"true";"lorem.sentence"
"SaleOrder";"specificNotes";"6";"true";"lorem.sentence"
"SaleOrder";"pickingOrderComments";"6";"true";"lorem.sentence"
"SaleOrder";"invoiceComments";"6";"true";"lorem.sentence"
"SaleOrder";"description";"6";"true";"lorem.sentence"
"SaleOrder";"title";"6";"true";"lorem.word"
"SaleOrder";"deliveryAddressStr";"6";"true";"address.fullAddress"
"SaleOrder";"fullName";"6";"true";"lorem.word"
"SaleOrder";"deliveryComments";"6";"true";"lorem.sentence"
