"importId";"name";"roles.name"
399;"hr-root";"Admin"
400;"hr-root-emp-mgt";"Admin"
401;"employee-all";"Admin"
402;"all-employment-contract";"Admin"
403;"all-payroll-preparation";"Admin"
404;"all-lunch-voucher-mgt";"Admin"
405;"hr-employee-bonus-mgt";"Admin"
406;"hr-employee-dpae";"Admin"
407;"hr-root-emp-mgt-conf";"Admin"
408;"hr-conf-product-activity";"Admin"
409;"end-of-contract-reason-all";"Admin"
410;"employment-contract-template-all";"Admin"
411;"hr-employee-bonus-type";"Admin"
412;"hr-employment-contract-type";"Admin"
413;"hr-conf-payroll-year";"Admin"
414;"hr-conf-payroll-period";"Admin"
415;"hr-conf-fiscal-period";"Admin"
416;"plannings-all";"Admin"
417;"event-planning-all";"Admin"
418;"weekly-planning-all";"Admin"
419;"hr-root-emp-mgt-conf-file-type";"Admin"
420;"hr-root-configuration-employments";"Admin"
421;"hr-root-configuration-collective-agreement";"Admin"
422;"hr-root-configuration-qualification";"Admin"
423;"hr-root-configuration-qualification-level";"Admin"
424;"hr-root-configuration-pay-grid";"Admin"
425;"hr-root-configuration-employments-all";"Admin"
426;"hr-root-configuration-smic-value";"Admin"
427;"hr-root-configuration-employment-contract-amendment";"Admin"
428;"hr-root-configuration-contract-type";"Admin"
429;"hr-employment-amendment-type";"Admin"
430;"hr-root-emp-mgt-probation-period";"Admin"
431;"hr-root-configuration-health-mutual";"Admin"
432;"hr-root-configuration-health-mutual-rejection-reason";"Admin"
433;"leave-request-root";"Admin"
434;"all-leave-request";"Admin"
435;"validate-leave-request";"Admin"
436;"historic-leave-request";"Admin"
437;"leave-request-root-leave-calendar";"Admin"
438;"leave-request-conf";"Admin"
439;"leave-reason-all";"Admin"
440;"leave-line-all-employee";"Admin"
441;"expense-root";"Admin"
442;"all-expense";"Admin"
443;"validate-expense";"Admin"
444;"ventilate-expense";"Admin"
445;"multiple-users-expense";"Admin"
446;"historic-expense";"Admin"
447;"expense-root-conf";"Admin"
448;"conf-expense-type";"Admin"
449;"kilometric-allow-param-all";"Admin"
450;"timesheet-root";"Admin"
451;"all-my-timesheet";"Admin"
452;"validate-timesheet";"Admin"
453;"historic-timesheet";"Admin"
454;"all-timesheet";"Admin"
455;"time-sheet-timer";"Admin"
456;"time-sheet-report";"Admin"
457;"time-sheet-reminder";"Admin"
458;"extra-hours-root";"Admin"
459;"all-extra-hours";"Admin"
460;"validate-extra-hours";"Admin"
461;"historic-extra-hours";"Admin"
462;"extra-hours-type";"Admin"
463;"admin-root-batch-hr";"Admin"
464;"hr-report-root";"Admin"
465;"menu-hr-manager-dashboard";"Admin"
466;"menu-hr-user-dashboard";"Admin"
467;"project-spent-time";"Admin"
468;"top-menu-hr";"Admin"
469;"top-menu-hr-my-timesheet";"Admin"
470;"top-menu-hr-my-expense";"Admin"
471;"top-menu-hr-my-leave-request";"Admin"
472;"top-menu-hr-my-extra-hours";"Admin"
473;"edit-expense";"Admin"
474;"edit-timesheet";"Admin"
475;"edit-leave-request";"Admin"
476;"edit-extra-hours";"Admin"
