name;roles
hr-root;role.manager
hr-root-emp-mgt;role.manager
hr-root-emp-mgt-conf;role.manager
leave-request-root;role.manager
validate-leave-request;role.manager
historic-leave-request;role.manager
leave-request-conf;role.manager
expense-root;role.manager
validate-expense;role.manager
ventilate-expense;role.manager
multiple-users-expense;role.manager
historic-expense;role.manager
expense-root-conf;role.manager
timesheet-root;role.manager
validate-timesheet;role.manager
historic-timesheet;role.manager
extra-hours-root;role.manager
validate-extra-hours;role.manager
historic-extra-hours;role.manager
