"importId";"name";"roles.name"
327;"crm-root";"Admin"
328;"crm-root-customers";"Admin"
329;"crm-root-contacts";"Admin"
330;"crm-root-event";"Admin"
331;"crm-root-lead";"Admin"
332;"crm-root-opportunity";"Admin"
333;"crm-root-meeting-my-calendar";"Admin"
334;"crm-root-report";"Admin"
335;"crm-conf";"Admin"
336;"crm-conf-lead-source";"Admin"
337;"crm-conf-category";"Admin"
338;"crm-conf-target-configuration";"Admin"
339;"crm-conf-target";"Admin"
340;"crm-conf-lost-reason";"Admin"
341;"admin-root-batch-crm";"Admin"
342;"top-menu-crm";"Admin"
343;"top-menu-crm-meetings";"Admin"
344;"top-menu-crm-calls";"Admin"
345;"top-menu-crm-tasks";"Admin"
346;"top-menu-crm-lead";"Admin"
347;"top-menu-crm-opportunity";"Admin"
348;"menu-event-dashboard";"Admin"
349;"menu-event-dashboard-one";"Admin"
350;"menu-lead-dashboard";"Admin"
351;"menu-lead-dashboard-one";"Admin"
352;"menu-target-dashboard";"Admin"
353;"menu-target-user-dashboard";"Admin"
354;"menu-target-team-dashboard";"Admin"
355;"menu-opportunities-dashboard";"Admin"
356;"menu-opportunities-dashboard-1";"Admin"
357;"menu-opportunities-dashboard-2";"Admin"
358;"menu-calls-dashboard";"Admin"
359;"menu-calls-dashboard-1";"Admin"
360;"crm-root-catalog";"Admin"
361;"crm-conf-contact-function";"Admin"
362;"crm-conf-catalog-type";"Admin"
363;"crm-conf-industry-sector";"Admin"
364;"menu-event-dashboard-manager";"Admin"
365;"menu-event-dashboard-salesman";"Admin"
366;"menu-lead-dashboard-manager";"Admin"
367;"menu-lead-dashboard-salesman";"Admin"
368;"menu-opportunities-dashboard-manager";"Admin"
369;"menu-opportunities-dashboard-salesman";"Admin"
370;"crm-conf-partner-roles";"Admin"
