"importId";"name";"templateLink";"format"
1;"Message";"MessagePDF.rptdesign";"pdf"
2;"BusinessSituation";"BusinessSituation.rptdesign";"pdf"
3;"Candidate";"Candidate.rptdesign";"pdf"
4;"CompanyPhoneBook";"CompanyPhoneBook.rptdesign";"pdf"
5;"Employee";"Employee.rptdesign";"pdf"
6;"Expense";"Expense.rptdesign";"pdf"
7;"Inventory";"Inventory.rptdesign";"pdf"
8;"Invoice";"Invoice.rptdesign";"pdf"
9;"Lead";"Lead.rptdesign";"pdf"
10;"ManufOrder";"ManufOrder.rptdesign";"pdf"
11;"Journal des encaissements";"MoveLineReportType1.rptdesign";"pdf"
12;"Grand livre";"MoveLineReportType2.rptdesign";"pdf"
13;"Balance";"MoveLineReportType3.rptdesign";"pdf"
14;"Balance âgée";"MoveLineReportType4.rptdesign";"pdf"
15;"Bordereau de remise de chèque";"MoveLineReportType5.rptdesign";"pdf"
16;"Récapitulation des reçus espèces";"MoveLineReportType10.rptdesign";"pdf"
17;"Journal";"MoveLineReportType11.rptdesign";"pdf"
18;"Différences paiement";"MoveLineReportType12.rptdesign";"pdf"
19;"Etat TVA";"MoveLineReportType13.rptdesign";"pdf"
20;"OperationOrder";"OperationOrder.rptdesign";"pdf"
21;"Partner";"Partner.rptdesign";"pdf"
22;"PaymentVoucher";"PaymentVoucher.rptdesign";"pdf"
23;"PhoneBook";"PhoneBook.rptdesign";"pdf"
24;"ProductCatalog_PGQL";"ProductCatalog_PGQL.rptdesign";"pdf"
25;"ProductSheet";"ProductSheet.rptdesign";"pdf"
26;"Project";"Project.rptdesign";"pdf"
27;"PurchaseOrder";"PurchaseOrder.rptdesign";"pdf"
28;"SaleOrder";"SaleOrder.rptdesign";"pdf"
29;"StockLocation";"StockLocation.rptdesign";"pdf"
30;"StockMove";"StockMove.rptdesign";"pdf"
31;"Task";"Task.rptdesign";"pdf"
32;"Timesheet";"Timesheet.rptdesign";"pdf"
