"importId";"birtTemplate.importId";"name";"value"
1;1;"MessageId";"$Message.id$"
2;1;"__locale";"fr_FR"
3;1;"Locale";"fr"
4;2;"BusinessId";"$Project.id$"
5;2;"__locale";"fr_FR"
6;2;"Locale";"fr"
7;3;"CandidateId";"$Candidate.id$"
8;3;"__locale";"fr_FR"
9;3;"Locale";"fr"
10;4;"UserId";"$__user__.id$"
11;4;"__locale";"fr_FR"
12;4;"Locale";"fr"
13;4;"AttachmentPath";"/home/axelor/attachments"
14;5;"__locale";"fr_FR"
15;5;"Locale";"fr"
16;5;"EmployeeId";"$Employee.id$"
17;6;"__locale";"fr_FR"
18;6;"Locale";"fr"
19;6;"ExpenseId";"$Expense.id$"
20;7;"__locale";"fr_FR"
21;7;"Locale";"fr"
22;7;"InventoryId";"$Inventory.id$"
23;8;"__locale";"fr_FR"
24;8;"Locale";"fr"
25;8;"InvoiceId";"$Invoice.id$"
26;9;"__locale";"fr_FR"
27;9;"Locale";"fr"
28;9;"LeadId";"$Lead.id$"
29;10;"__locale";"fr_FR"
30;10;"Locale";"fr"
31;10;"ManufOrderId";"$ManufOrder.id$"
32;11;"__locale";"fr_FR"
33;11;"Locale";"fr"
34;11;"MoveLineReportId";"$MoveLineReport.id$"
35;12;"__locale";"fr_FR"
36;12;"Locale";"fr"
37;12;"MoveLineReportId";"$MoveLineReport.id$"
38;13;"__locale";"fr_FR"
39;13;"Locale";"fr"
40;13;"MoveLineReportId";"$MoveLineReport.id$"
41;14;"__locale";"fr_FR"
42;14;"Locale";"fr"
43;14;"MoveLineReportId";"$MoveLineReport.id$"
44;15;"__locale";"fr_FR"
45;15;"Locale";"fr"
46;15;"MoveLineReportId";"$MoveLineReport.id$"
47;16;"__locale";"fr_FR"
48;16;"Locale";"fr"
49;16;"MoveLineReportId";"$MoveLineReport.id$"
50;17;"__locale";"fr_FR"
51;17;"Locale";"fr"
52;17;"MoveLineReportId";"$MoveLineReport.id$"
53;18;"__locale";"fr_FR"
54;18;"Locale";"fr"
55;18;"MoveLineReportId";"$MoveLineReport.id$"
56;19;"__locale";"fr_FR"
57;19;"Locale";"fr"
58;19;"MoveLineReportId";"$MoveLineReport.id$"
59;20;"__locale";"fr_FR"
60;20;"Locale";"fr"
61;20;"OperationOrderId";"$OperationOrder.id$"
62;21;"__locale";"fr_FR"
63;21;"Locale";"fr"
64;21;"PartnerId";"$Partner.id$"
65;21;"AttachmentPath";"/home/axelor/attachments"
66;22;"__locale";"fr_FR"
67;22;"Locale";"fr"
68;22;"PaymentVoucherId";"$PaymentVoucher.id$"
69;23;"__locale";"fr_FR"
70;23;"Locale";"fr"
71;23;"UserId";"$__user__.id$"
72;23;"AttachmentPath";"/home/axelor/attachments"
73;24;"__locale";"fr_FR"
74;24;"Locale";"fr"
75;24;"UserId";"$__user__.id$"
76;24;"CurrYear";2015
77;24;"ProductIds";"$Product.id$"
78;25;"__locale";"fr_FR"
79;25;"Locale";"fr"
80;25;"ProductId";"$Product.id$"
81;25;"CompanyId";"$__user__.activeCompany.id$"
82;26;"__locale";"fr_FR"
83;26;"Locale";"fr"
84;26;"ProjectId";"$Project.id$"
85;27;"__locale";"fr_FR"
86;27;"Locale";"fr"
87;27;"PurchaseOrderId";"$PurchaseOrder.id$"
88;28;"__locale";"fr_FR"
89;28;"Locale";"fr"
90;28;"SaleOrderId";"$SaleOrder.id$"
91;29;"__locale";"fr_FR"
92;29;"Locale";"fr"
93;29;"StockLocationId";"$Location.id$"
94;30;"__locale";"fr_FR"
95;30;"Locale";"fr"
96;30;"StockMoveId";"$StockMove.id$"
97;31;"__locale";"fr_FR"
98;31;"Locale";"fr"
99;31;"TaskId";"$Task.id$"
100;32;"__locale";"fr_FR"
101;32;"Locale";"fr"
102;32;"TimesheetId";"$Timesheet.id$"
