"importId";"prodProcess.importId";"name";"name_EN";"priority";"workCenter.importId";"description"
1;1;"Assemblage CM – Proc. – Mém.";;10;10;
2;1;"Montage éléments sur Rack";;10;20;
4;1;"Branchement des connectiques";;30;30;
5;1;"Contrôle qualité";;40;40;
6;1;"Nettoyage";;50;50;
7;1;"Emballage";;60;60;
10;2;"Assemblage CM – Proc. – Mém.";;10;10;
11;2;"Montage éléments sur Rack";;20;20;
12;2;"Branchement des connectiques";;30;30;
14;2;"Contrôle qualité";;40;40;
15;2;"Tests de performances";;50;70;
16;2;"Nettoyage";;60;50;
17;2;"Emballage";;70;60;
20;3;"Récupération des articles en stock";;10;80;
21;3;"Emballage";;20;60;
30;4;"Récupération des articles en stock";;10;80;
31;4;"Emballage";;20;60;
