"importId";"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.importId"
100;"accountClearance";"Apurement des trop-perçus";1;10;"APURMT_%YY_";;1;1;1
101;"chequeReject";"Rejet chèques";1;10;"REJCHQ_%YY_";;1;1;1
102;"invoice";"Facture de vente";1;7;"FC_%YY";;1;1;1
103;"invoice";"Avoir client";1;7;"AC_%YY";;1;1;1
104;"invoice";"Facture d'achat";1;7;"FF_%YY";;1;1;1
105;"invoice";"Avoir fournisseur";1;7;"AVF_%YY";;1;1;1
106;"debit";"Prélèvement (facture et echeanciers hors mensu)";1;7;"PREFAC_%YY_";;1;1;1
109;"irrecoverable";"Passage en irrécouvrable";1;7;"IRRECOUV_%YY_";;1;1;1
110;"move";"Ecriture Vente";1;7;"ECRVTE_%YY_";;1;1;1
111;"move";"Ecriture avoir";1;10;"ECRAV_%YY_";;1;1;1
112;"move";"Ecriture Achat";1;7;"ECRACH_%YY_";;1;1;1
113;"move";"Ecriture avoir fournisseur";1;10;"ECRAVF_%YY_";;1;1;1
114;"move";"Ecriture Factice";1;7;"ECR_VIRT_%YY_";;1;1;1
115;"move";"Ecriture paiement en especes";1;7;"ECRESP_%YY_";;1;1;1
116;"move";"Ecriture paiement client par cheque";1;10;"ECRCHQ_%YY_";;1;1;1
117;"move";"Ecriture paiement client par CB";1;10;"ECRCB_%YY_";;1;1;1
118;"move";"Ecriture paiement client par internet";1;10;"ECRWEB_%YY_";;1;1;1
119;"move";"Ecriture paiement client par TIP";1;10;"ECRTIP_%YY_";;1;1;1
120;"move";"Ecriture paiement client par TIP+Cheque";1;10;"ECRTEC_%YY_";;1;1;1
121;"move";"Ecriture paiement client par virement";1;10;"ECRVIR_%YY_";;1;1;1
122;"move";"Ecriture paiement client par prélèvement  (factures et échéanciers hors mensu)";1;10;"ECRPRE_%YY_";;1;1;1
123;"move";"Ecriture paiement client par autres moyens";1;10;"ECROTH_%YY_";;1;1;1
124;"move";"Ecriture paiement client rejet d'opération bancaire";1;10;"ECRREJ_%YY_";;1;1;1
125;"move";"Ecriture de remboursement automatique";1;10;"ECRRBTCLT_%YY_";;1;1;1
126;"move";"Ecriture règlement fournisseur en especes";1;7;"ECRESP_%YY_";;1;1;1
127;"move";"Ecriture règlement fournisseur par cheque";1;10;"ECRCHQ_%YY_";;1;1;1
128;"move";"Ecriture règlement fournisseur par CB";1;10;"ECRCB_%YY_";;1;1;1
129;"move";"Ecriture règlement fournisseur par TIP";1;10;"ECRTIP_%YY_";;1;1;1
130;"move";"Ecriture règlement fournisseur par virement";1;10;"ECRVIR_%YY_";;1;1;1
131;"move";"Ecriture règlement fournisseur par prélèvement  (factures et échéanciers hors mensu)";1;10;"ECRPRE_%YY_";;1;1;1
132;"move";"Ecriture règlement fournisseur par autres moyens";1;10;"ECROTH_%YY_";;1;1;1
133;"move";"Ecriture d'OD automatique";1;10;"ECRODAUTO_%YY_";;1;1;1
134;"move";"Ecriture d'OD manuelle";1;10;"ECRODMANU_%YY_";;1;1;1
135;"move";"Ecriture d'apurements";1;10;"ECRAPUR_%YY_";;1;1;1
136;"move";"Ecriture passage en irrécouvrable";1;10;"ECRIRREC_%YY_";;1;1;1
137;"moveLineExport";"Export comptable";1;10;"EXPCPT_%YY_";;1;1;1
138;"moveLineReport";"Reporting comptable";1;10;"REPORTDF_%YY_";;1;1;1
139;"paymentSchedule";"N° écheancier";1;10;"ECHPAI_%YY_";;1;1;1
140;"paymentVoucher";"N° de paiement enc. espèces ";1;10;"ENC_ESP_%YY_";;1;1;1
141;"paymentVoucher";"N° de paiement enc. chèques ";1;10;"ENC_CHQ_%YY_";;1;1;1
142;"paymentVoucher";"N° de paiement enc. CB ";1;10;"ENC_CB_%YY_";;1;1;1
143;"paymentVoucher";"N° de paiement enc. internet ";1;10;"ENC_WEB_%YY_";;1;1;1
144;"paymentVoucher";"N° de paiement enc. TIP ";1;10;"ENC_TIP_%YY_";;1;1;1
145;"paymentVoucher";"N° de paiement enc. TIP+Cheque ";1;10;"ENC_TEC_%YY_";;1;1;1
146;"paymentVoucher";"N° de paiement enc. virement ";1;10;"ENC_VIR_%YY_";;1;1;1
147;"paymentVoucher";"N° de paiement enc. prélèvement  (factures et échéanciers hors mensu)";1;10;"ENC_PRE_%YY_";;1;1;1
