"importId";"name";"country.code"
"1";"Harvard University";"USA"
"2";"Stanford University";"USA"
"3";"Massachusetts Institute of Technology (MIT)";"USA"
"4";"University of California, Berkeley";"USA"
"5";"California Institute of Technology";"USA"
"6";"Princeton University";"USA"
"7";"Columbia University";"USA"
"8";"University of Chicago";"USA"
"9";"Yale University";"USA"
"10";"University of California, Los Angeles";"USA"
"11";"Cornell University";"USA"
"12";"University of Pennsylvania";"USA"
"13";"University of California, San Diego";"USA"
"14";"University of Washington";"USA"
"15";"The Johns Hopkins University";"USA"
"16";"University of California, San Francisco";"USA"
"17";"University of Wisconsin - Madison";"USA"
"18";"University of Michigan - Ann Arbor";"USA"
"19";"University of Illinois at Urbana-Champaign";"USA"
"20";"New York University";"USA"
"21";"University of Minnesota, Twin Cities";"USA"
"22";"Northwestern University";"USA"
"23";"Washington University in St. Louis";"USA"
"24";"Rockefeller University";"USA"
"25";"University of Colorado at Boulder";"USA"
"26";"University of California, Santa Barbara";"USA"
"27";"The University of Texas at Austin";"USA"
"28";"Duke University";"USA"
"29";"University of Maryland, College Park";"USA"
"30";"University of North Carolina at Chapel Hill";"USA"
"31";"University of California, Irvine";"USA"
"32";"University of Southern California";"USA"
"33";"University of California, Davis";"USA"
"34";"The University of Texas Southwestern Medical Center at Dallas";"USA"
"35";"Pennsylvania State University - University Park";"USA"
"36";"Vanderbilt University";"USA"
"37";"Carnegie Mellon University";"USA"
"38";"Purdue University - West Lafayette";"USA"
"39";"University of Pittsburgh";"USA"
"40";"Rutgers, The State University of New Jersey - New Brunswick";"USA"
"41";"Brown University";"USA"
"42";"The Ohio State University - Columbus";"USA"
"43";"Boston University";"USA"
"44";"University of Florida";"USA"
"45";"University of Arizona";"USA"
"46";"Arizona State University - Tempe";"USA"
"47";"University of Utah";"USA"
"48";"Indiana University Bloomington";"USA"
"49";"University of Rochester";"USA"
"50";"Rice University";"USA"
"51";"Texas A&M University - College Station";"USA"
"52";"Michigan State University";"USA"
"53";"Case Western Reserve University";"USA"
"54";"Baylor College of Medicine";"USA"
"55";"Emory University";"USA"
"56";"Georgia Institute of Technology";"USA"
"57";"Mayo Medical School";"USA"
"58";"The University of Georgia";"USA"
"59";"Tufts University";"USA"
"60";"University of California, Riverside";"USA"
"61";"University of California, Santa Cruz";"USA"
"62";"University of Delaware";"USA"
"63";"University of Hawaii at Manoa";"USA"
"64";"University of Iowa";"USA"
"65";"University of Massachusetts Amherst";"USA"
"66";"University of Massachusetts Medical School - Worcester";"USA"
"67";"University of Virginia";"USA"
"68";"Colorado State University";"USA"
"69";"Dartmouth College";"USA"
"70";"George Mason University";"USA"
"71";"Iowa State University";"USA"
"72";"Mount Sinai School of Medicine";"USA"
"73";"North Carolina State University - Raleigh";"USA"
"74";"Oregon Health and Science University";"USA"
"75";"Oregon State University";"USA"
"76";"State University of New York at Stony Brook";"USA"
"77";"The University of Texas Health Science Center at Houston";"USA"
"78";"The University of Texas M. D. Anderson Cancer Center";"USA"
"79";"University of Illinois at Chicago";"USA"
"80";"University of Maryland, Baltimore";"USA"
"81";"University of Miami";"USA"
"82";"University of Nebraska - Lincoln";"USA"
"83";"University of Tennessee - Knoxville";"USA"
"84";"Virginia Commonwealth University";"USA"
"85";"Virginia Polytechnic Institute and State University";"USA"
"86";"Brandeis University";"USA"
