"importId";"module";"object";"view";"field";"help"
316;"axelor-purchase";"PurchaseOrder";"purchase-order-form";"versionNumber";"Numéro de version de la commande. Celui-ci s'incrémente lorsque l'on utilise le bouton ""nouvelle version"" sur une commande au statut "" demandé """
317;"axelor-purchase";"PurchaseOrder";"purchase-order-form";"priceList";"Permet d'associer une liste de prix à utiliser spécifiquement pour cette commande. Ce champ est rempli automatiquement si une liste de prix est rattachée au tiers. "
318;"axelor-purchase";"PurchaseOrder";"purchase-order-form";"isPurchaseParent";"Cette case doit être cochée si la commande en cours est la commande initiale. S'il existe déjà une commande parente, la renseigner dans le champ ""Cmde initiale""."
319;"axelor-purchase";"PurchaseOrderLine";"purchase-order-line-form";"maxPurchasePrice";"Prix d'achat maximum conseillé, celui-ci est calculé à partir du prix de vente du produit ainsi que du coefficient de gestion associé à celui-ci. "
320;"axelor-purchase";"PurchaseOrderLine";"purchase-order-line-form";"discountTypeSelect";"Permet de choisir le type de remise (en % ou en montant fixe sur le prix unitaire). Ce champ se remplit automatiquement si une liste de prix a été sélectionnée pour la commande, mais reste modifiable spécifiquement pour la ligne en question. "
321;"axelor-purchase";"PurchaseOrderLine";"purchase-order-line-form";"toInvoice";"Case à cocher permettant de signifier que la ligne de commande est à facturer dans l'affaire. Si celle-ci est décochée, cette ligne ne sera pas prise en compte lors de la création de la facture de la commande associée. "
322;"axelor-purchase";"AppPurchase";"app-purchase-config-form";"managePurchasesUnits";"Cette fonction est utile quand les unités d'achat d'un produit à un fournisseur sont différentes de vos unités de vente (par exemple si vous achetez un produit à la tonne et que vous le revendez au kilo). Ainsi lors des commandes fournisseurs, le produit sélectionné sera directement indiqué avec son unité d'achat, évitant ainsi de faire des conversions."
323;"axelor-purchase";"AppPurchase";"app-purchase-config-form";"managePurchaseOrderVersion";"Cette option active la possibilité de créer plusieurs versions d'une commande fournisseur, permettant ainsi de modifier une commande pour en créer une nouvelle version et d'en suivre l'historique."
324;"axelor-purchase";"AppPurchase";"app-purchase-config-form";"supplierRequestMgt";"Cette option permet d'activer la gestion des demandes d'achats aux fournisseurs, permettant d'envoyer à plusieurs fournisseurs d'un même produit des demandes de cotation."
325;"axelor-purchase";"AppPurchase";"app-purchase-config-form";"manageMultiplePurchaseQuantity";"Cette option permet de définir sur la fiche d'un produit des quantités multiples d'achat. Vous pourrez ainsi définir qu'un produit ne peut être acheter que sous certains multiples (par exemple que pour une quantité de 5 et 10). Si la quantité sélectionnée sur une ligne de commande est différente, cette ligne ne pourra être validée et un message apparaitra, indiquant quelles sont les quantités autorisées."
326;"axelor-purchase";"PurchaseConfig";"purchase-config-form";"purchaseOrderInAtiSelect";"Il est possible de choisir si dans les commandes d'achat les prix sont toujours en H.T., toujours en T.T.C, par défaut en H.T. ou par défaut en T.T.C. Les choix ""par défaut en H.T."" et ""par défaut en T.T.C."" laissent la possibilité de modifier au cas par cas (via une case à cocher) le type de prix pratiqué. 
"
327;"axelor-purchase";"PurchaseConfig";"purchase-config-form";"displayPriceOnQuotationRequest";"Si cette case est décochée, les prix des produits n'apparaitront pas sur les impressions des demandes de devis aux fournisseurs."
328;"axelor-purchase";"PurchaseConfig";"purchase-config-form";"priceRequest";"Vous offre la possibilité de personnaliser un message par défaut sur les demandes de cotation."
