importId;typeSelect;ruleTypeSelect;label;code;styleSelect;resultSelect;rule;accountType;accountCode;reportTypeId;reportTypeColumnId;sequence
10200;1;2;Montant;montant;0;4;;;;;100;
10201;1;1;ACTIFS;title1;1;;;;;100;;0
10203;1;2;Capital souscrit non appelé;csna;0;1;;;109%;100;;2
10205;1;2;Frais d'établissement;frdet;0;1;;;201%;100;;4
10206;1;2;Frais de recherche et de développement;fdredd;0;1;;;203%;100;;5
10207;1;2;Frais de concessions, brevets, licences;fdcbl;0;1;;;205%;100;;6
10208;1;2;Fonds commercial;fondc;0;1;;;206%,207%;100;;7
10209;1;2;Autres;iiaut;0;1;;;208%;100;;8
10210;1;2;Immobilisations incorporelles en cours;iiec;0;1;;;232%;100;;9
10211;1;2;Avances et acomptes;aveac;0;1;;;237%;100;;10
10212;1;3;Immobilisations incorporelles;immoi;0;;frdet + fdredd + fdcbl + fondc + iiaut + iiec + aveac;;;100;;11
10214;1;2;Terrains;terrain;0;1;;;211%,212%;100;;13
10215;1;2;Constructions;constr;0;1;;;213%,214%;100;;14
10216;1;2;Installations techniques, matériel et outillage;itmo;0;1;;;215%;100;;15
10217;1;2;Autres;icaut;0;1;;;218%;100;;16
10218;1;2;Immobilisations corporelles en cours;icec;0;1;;;231%;100;;17
10219;1;2;Avances et acomptes;avetac;0;1;;;238%;100;;18
10220;1;3;Immobilisation corporelles;immoc;0;;terrain + constr + itmo + icaut + icec + avetac;;;100;;19
10222;1;2;Participations;parti;0;1;;;261%,266%;100;;21
10223;1;2;Créances rattachées à des participations;cradp;0;1;;;267%,268%;100;;22
10224;1;2;Titres immobilisés de l'activité de portefeuille;tidladp;0;1;;;273%;100;;23
10225;1;2;Autres titres immobilisés;autti;0;1;;;271%,272%;100;;24
10226;1;2;Prêts;prets;0;1;;;274%;100;;25
10227;1;2;Autres;ifaut;0;1;;;275%,2761%;100;;26
10228;1;3;Immobilisations financières;immof;0;;parti + cradp + tidladp + autti + prets + ifaut;;;100;;27
10230;1;2;Matières premières;matpre;0;1;;;31%,32%;100;;29
10231;1;2;En-cours de production;encdep;0;1;;;33%,34%;100;;30
10232;1;2;Produit intermédiaires et finis;pief;0;1;;;35%;100;;31
10233;1;2;Marchandises;march;0;1;;;37%;100;;32
10234;1;2;Avances et acomptes versés sur commandes;aeavsc;0;1;;;4091%;100;;33
10235;1;3;Stocks et en-cours;seec;0;;matpre + encdep + pief + march + aeavsc;;;100;;34
10237;1;2;Créances clients et comptes rattachés;ccecr;0;1;;;411%,413%,416%,418%;100;;36
10238;1;2;Autres créances;autcr;0;1;;;4096%,4097%,4098%,425%,4287%,438700,441%,443%,444%,4452%,4456%,4458%,4487%,451%,455%,4561%,4563%,4564%,4566%,4567%,458%,462%,465%,467%,4687%,478%;100;;37
10239;1;3;Créances;creances;0;;ccecr + autcr;;;100;;38
10241;1;2;Capital souscrit non versé;csnv;0;1;;;4562%;100;;40
10243;1;2;Action propres;actpro;0;1;;;502%;100;;42
10244;1;2;Actions titres;acttit;0;1;;;501%,503%,504%,505%,506%,507%,508%,509%,;100;;43
10245;1;3;VMP;vmp;0;;actpro + acttit;;;100;;44
10247;1;2;Instruments de trésorerie;insdt;0;1;;;52%;100;;46
10249;1;2;Disponibilités;dispo;0;1;;;51%,53%,54%;100;;48
10251;1;2;Charges constatées d'avance;chcda;0;1;;;486%;100;;50
10253;1;3;TOTAL ACTIFS;totact;1;;csna + immoi + immoc + immof + seec + creances + csnv + vmp + insdt + dispo + chcda;;;100;;52
10256;1;1;PASSIFS;title2;1;;;;;100;;55
10258;1;2;Capital;capital;0;2;;;101%,108%;100;;57
10259;1;2;Primes d'émission, de fusion, d'apport;pdedfda;0;2;;;104%;100;;58
10260;1;2;Ecart de réévaluation;ecdere;0;2;;;105%;100;;59
10261;1;2;Ecart d'équivalence;ecdeq;0;2;;;107%,1057%;100;;60
10262;1;2;Réserve légale;resleg;0;2;;;1061%;100;;61
10263;1;2;Réserve statuaire;ressta;0;2;;;1063%;100;;62
10264;1;2;Réserve réglementée;resreg;0;2;;;1062%,1064%;100;;63
10265;1;2;Autres réserves;autres;0;2;;;1068%;100;;64
10266;1;3;Réserve;reserve;0;;resleg + ressta + resreg + autres;;;100;;65
