"code";"actionSelect";"company.importId";"bankDetails.importId";"currency.code";"reimbursementTypeSelect";"reimbursementExportTypeSelect";"debtRecoveryTypeSelect";"directDebitDataTypeSelect";"dueDate";"interbankPaymentOrderTypeSelect";"updateCustAccountOk";"updateDueCustAccountOk";"updateDueDebtRecoveryCustAccountOk";"moveLineExportTypeSelect";"startDate";"endDate";"description"
"AX_DOUBT";16;1;;;;;;;;;"false";"false";"false";;;;"Permet de passer toutes les créances non payées depuis un certain temps (paramétrable dans les sociétés) sur un compte de créances douteuses."
"AX_EXP_PURCHASE_MOVE";18;1;;;;;;;;;"false";"false";"false";9;"TODAY[1d]";"TODAY[30d]";"Permet d'exporter les écritures d'achat vers un logiciel de compta."
"AX_EXP_REFUND_MOVE";18;1;;;;;;;;;"false";"false";"false";7;"TODAY[1d]";"TODAY[30d]";"Permet d'exporter les écritures d'avoir vers un logiciel de compta."
"AX_EXP_REIMB";11;1;90000;"EUR";1;2;;;;;"false";"false";"false";;;;"Permet d'exporter les remboursements au statut validé"
"AX_EXP_SALES_MOVE";18;1;;;;;;;;;"false";"false";"false";6;"TODAY[1d]";"TODAY[30d]";"Permet d'exporter les écritures de vente vers un logiciel de compta."
"AX_EXP_TREASURY_MOVE";18;1;;;;;;;;;"false";"false";"false";8;"TODAY[1d]";"TODAY[30d]";"Permet d'exporter les écritures de trésorerie vers un logiciel de compta."
"AX_GEN_REIMB";11;1;90000;"EUR";1;1;;;;;"false";"false";"false";;;;"Permet de créer les remboursements au statut validé si les seuil son respecter, au statut A valider sinon."
"AX_IMP_IPO";15;1;;"EUR";;;;;;1;"false";"false";"false";;;;"Import des paiements par TIP et TIP chèque."
"AX_IMP_IPO_REJ";15;1;;"EUR";;;;;;2;"false";"false";"false";;;;"Permet d'importer les rejets de paiements par TIP et TIP chèque."
"AX_IMP_REIMB_REJ";11;1;;"EUR";2;;;;;;"false";"false";"false";;;;"Permet d'importer les rejets de virement (remboursement)"
"AX_REM";14;1;;;;;1;;;;"true";"true";"true";;;;"Permet de relancer toutes les créances impayées selon la méthode de relance"
"AX_DD_INV";12;1;;"EUR";;;;1;"TODAY[20d]";;"false";"false";"false";;;;"Permet de prélever les factures ventilées en fonction de la date d'échéance."
"AX_DD_SCH";12;1;;"EUR";;;;3;"TODAY[10d]";;"false";"false";"false";;;;"Permet de prélever les échéanciers en fonction de la date d'échéance"
"AX_UPDATE";17;1;;"EUR";1;;;1;;;"false";"false";"false";;;;
