importId;code;parent_code;name;accountType.technicalTypeSelect;reconcileOk;useForPartnerBalance;isTaxAuthorizedOnMoveLine;isTaxRequiredOnMoveLine;company.importId
99999;0;;Racine Plan Comptable;view;;;;;1
0;101000;0;CAPITAL SOCIAL;equity;;;;;1
1;104100;0;PRIMES D'EMISSION;equity;;;;;1
2;106110;0;RESERVE LEGALE;equity;;;;;1
3;106800;0;RESERVE FACULTATIVE;equity;;;;;1
4;120000;0;RESULTAT BENEFICIAIRE;equity;;;;;1
5;129000;0;RESULTAT DEFICITAIRE;equity;;;;;1
6;151100;0;PROVISION POUR RISQUE;provision;;;;;1
7;153000;0;PROVISION FIN CARRIERE;provision;;;;;1
8;158000;0;PROVISION POUR CHARGES;provision;;;;;1
9;158200;0;AUTRES PROVISIONS;provision;;;;;1
10;158500;0;PREAVIS;provision;;;;;1
11;164000;0;EMPRUNT HSBC 2015;debt;;;;;1
12;164001;0;CREDIT CATALOG 2013;debt;;;;;1
13;164002;0;CREDIT CAT.HSBC 2015;debt;;;;;1
14;164003;0;CREDIT CCF LOG 2005;debt;;;;;1
15;164004;0;CREDIT CATALOG 2004;debt;;;;;1
16;164005;0;AGENCEMENT LONRAI C A;debt;;;;;1
17;164006;0;CREDIT CATALOG;debt;;;;;1
18;164007;0;CREDIT CATALOG;debt;;;;;1
19;164008;0;CREDIT AGENCEMENT;debt;;;;;1
20;164009;0;HSBC PRET CAT.2016;debt;;;;;1
21;164010;0;CREDIT CCF RESTUCTURATION;debt;;;;;1
22;164011;0;CREDIT BFCC RESTRUCTURATION;debt;;;;;1
23;164012;0;CREDIT SG RESTUCTURATION;debt;;;;;1
24;164013;0;BUREAU LONRAI 2014;debt;;;;;1
25;164014;0;HSBC CIL;debt;;;;;1
26;164015;0;PRET HSBC CAT 2017;debt;;;;;1
27;164016;0;PRET CAT.2018-2019;debt;;;;;1
28;164017;0;PRET SG DOUCHETTES;debt;;;;;1
29;164018;0;EMPRUNT CR 100000;debt;;;;;1
30;164019;0;CF 164020;debt;;;;;1
31;164020;0;CATALOGUE 2020-2021;debt;;;;;1
32;164021;0;PRET BFCC PGE 1500000E;debt;;;;;1
33;164030;0;BILLET ORDRE C AGRICOLE;debt;;;;;1
34;164031;0;BILLET SOCIETE GENERALE;debt;;;;;1
35;164100;0;EMP.BFCC CAT \(59166,67\);debt;;;;;1
36;164200;0;EMPRUNT CCF 980000F;debt;;;;;1
37;164300;0;CREDIT CCF 800000\(2001\);debt;;;;;1
38;164400;0;CREDIT CCF 107000;debt;;;;;1
39;164500;0;CREDIT TRES BFCC 300000,00;debt;;;;;1
40;164501;0;CREDIT BFCC MEZZANINE;debt;;;;;1
41;164600;0;CREDIT CCF 313000,00;debt;;;;;1
42;164601;0;CREDIT CCF 670000,00;debt;;;;;1
43;168800;0;INTERETS COURUS;debt;;;;;1
44;168840;0;INTERETS COURUS;debt;;;;;1
45;203000;0;FRAIS DE RECHERCHES;immobilisation;;;;;1
46;205000;0;LOGICIEL ST DENIS;immobilisation;;;;;1
47;205100;0;LOGICIEL ALENCON;immobilisation;;;;;1
48;213500;0;AGENCEMENTS INSTALLATIONS;immobilisation;;;;;1
49;213501;0;AGENCEMENT ALENCON;immobilisation;;;;;1
50;215400;0;MATERIEL ET OUTILLAGE;immobilisation;;;;;1
51;215401;0;MAT OUTI ALENCON;immobilisation;;;;;1
52;215402;0;MAT OUT ALENCON 2;immobilisation;;;;;1
53;218100;0;AGENCEMENT BURO LONRAI;immobilisation;;;;;1
54;218110;0;AGENCEMENT ALENCON;immobilisation;;;;;1
55;218200;0;MATERIEL DE TRANSPORT;immobilisation;;;;;1
56;218300;0;MATERIEL INFORMATIQUE;immobilisation;;;;;1
57;218301;0;MAT IMFORMA ALENCON;immobilisation;;;;;1
58;218400;0;MOBILIER DE BUREAU;immobilisation;;;;;1
59;218401;0;MOBILIER ALENCON;immobilisation;;;;;1
60;218500;0;LOGICIELS;immobilisation;;;;;1
61;218501;0;LOGICIEL ALENCON;immobilisation;;;;;1
62;218502;0;LOGICIEL DUCROIRE;immobilisation;;;;;1
63;218503;0;SITE INTERNET DALBE;immobilisation;;;;;1
64;238800;0;IMMOBILISATIONS EN COURS;immobilisation;;;;;1
65;261000;0;TITRES DE PARTICIPATION;immobilisation;;;;;1
66;267000;0;CREANCES RATTACHEES A DES;immobilisation;;;;;1
67;271000;0;TITRES IMMOBILISES;immobilisation;;;;;1
68;271100;0;TITRES DE PARTICIPATION;immobilisation;;;;;1
69;271110;0;TITRES SCI IMMO DALBE;immobilisation;;;;;1
70;275000;0;DEPOTS ET CAUTIONNEMENTS;immobilisation;;;;;1
71;280300;0;AMORTISS.FR.DE RECHERCHES;immobilisation;;;;;1
72;280500;0;AMORTISS INTRA INTERNET AHD;immobilisation;;;;;1
73;280510;0;AMORT ALENCON;immobilisation;;;;;1
74;281000;0;AMORTISSEMENT;immobilisation;;;;;1
75;281350;0;AMORTISS.AGENCEM.INSTALL;immobilisation;;;;;1
76;281540;0;AMORTISS.MATERIEL OUTILL;immobilisation;;;;;1
77;281541;0;AMORT ALENCON;immobilisation;;;;;1
78;281542;0;AMORT ALENCON 2;immobilisation;;;;;1
79;281810;0;AGENCEMENT ST DENIS;immobilisation;;;;;1
80;281811;0;AGENCEMENT ALENCON;immobilisation;;;;;1
81;281820;0;AMORTISS.MATERIEL TRANSP;immobilisation;;;;;1
82;281830;0;AMORTISS MAT INFOR;immobilisation;;;;;1
83;281831;0;AMORT ALENCON;immobilisation;;;;;1
84;281840;0;AMORTISS.MOBILIER BUREAU;immobilisation;;;;;1
85;281841;0;AMORT ALENCON;immobilisation;;;;;1
86;281850;0;AMORTISS.LOGICIELS;immobilisation;;;;;1
87;296100;0;PROVI DEPRE TITRES;immobilisation;;;;;1
88;370000;0;STOCKS MARCHANDISES;view;;;;;1
89;390000;0;PROV.DEPRECIATION STOCK;view;;;;;1
90;397000;0;DOTATION PROVI STOCK;currentAsset;;;;;1
91;4010;0;COLLECTIF FOURNISSEURS;payable;;;;;1
92;151300;0;Provisions pour pertes sur marchés à terme;provision;;;;;1
93;403000;0;EFFET A PAYER;payable;True;True;;;1
94;151500;0;Provisions pour pertes de change;provision;;;;;1
95;408100;0;FAC FRS NON PARVENUS;payable;True;True;;;1
