"importId";"name";"code";"isFree"
1;"A réception de facture";"ARFACT";"true"
2;"15 jours nets";"15JRNET";"false"
3;"30 jours nets";"30JRNET";"false"
4;"45 jours nets";"45JRNET";"false"
5;"15 jours fin de mois";"15JRFDM";"false"
6;"30 jours fin de mois";"30JRFDM";"false"
7;"45 jours fin de mois";"45JRFDM";"false"
8;"30 jours fin de mois le 10";"30JRFDM10";"false"
200;"1 mois net";"1MOISNET";"false"
1000;"Ech. 30/50/20 %";"ECH30/50/20";"true"
1010;"Ech. 40/40/20 %";"ECH40/40/20";"true"
2000;"Ech. 30/50/15/RG5 %";"ECH30/50/15/RG5";"true"
2010;"Ech. 40/40/15/RG5 %";"ECH40/40/15/RG5";"true"
