"importId";"name";"code";"isDas2Declarable"
1;"Non soumis au DAS2";"NDAS";"false"
2;"Honoraires";"HONO";"true"
3;"Commissions";"COMM";"true"
4;"Courtages";"COUR";"true"
5;"Ristournes";"RIST";"true"
6;"Jetons de présence";"JETO";"true"
7;"Droits d’auteurs";"DAUT";"true"
8;"Droits d’inventeurs";"DINV";"true"
9;"Autres rémunérations";"AREM";"true"
10;"Avantages en nature";"ANAT";"true"
11;"Indemnités/Remboursements";"IDTR";"true"
12;"Retenue à la source";"RSOU";"true"
13;"Frais exposés pour compte du bénéficiaire";"FRAI";"true"
14;"Collectif DAS2";"DAS2";"true"
