"importId";"company_id";"typeSelect";"product.importId";"tax.code";"productFamily.importId";"paymentMode.importId";"saleAccount_code";"saleTax.code";"purchaseAccount_code";"purchaseTax.code";"cashAccount_code";"journal_importId";"sequence_importId";"bankDetails_importId"
1;1;1;;;1;;706000;"N_C";604000;"N_D";;;;
2;1;1;;;2;;707100;"N_C";601000;"N_D";;;;
3;1;1;;;3;;707100;"N_C";602100;"N_D";;;;
4;1;1;;;4;;707100;"N_C";602200;"N_D";;;;
5;1;1;;;5;;706000;"N_C";604000;"N_D";;;;
6;1;1;;;6;;708000;"N_C";625100;"N_D";;;;
12;1;3;;;;1;;;;;512100;13;148;90000
13;1;3;;;;2;;;;;512100;12;147;90000
14;1;3;;;;3;;;;;512100;9;144;90000
15;1;3;;;;4;;;;;531100;5;140;90000
16;1;3;;;;5;;;;;511500;7;142;90000
17;1;3;;;;6;;;;;511200;6;141;90000
18;1;3;;;;7;;;;;512100;8;143;90000
19;1;3;;;;8;;;;;512100;11;146;90000
20;1;3;;;;9;;;;;512100;10;145;90000
21;1;3;;;;10;;;;;512100;20;154;90000
22;1;3;;;;11;;;;;512100;18;152;90000
23;1;3;;;;12;;;;;512100;15;149;90000
24;1;3;;;;13;;;;;512100;17;151;90000
25;1;3;;;;14;;;;;512100;16;150;90000
26;1;3;;;;15;;;;;512100;19;153;90000
27;1;3;;;;16;;;;;512100;21;155;90000
28;1;1;302;;;;705000;"N_C";621400;"N_D";;;;
29;1;1;303;;;;708400;"N_C";621400;"N_D";;;;
30;1;1;304;;;;708400;"N_C";621400;"N_D";;;;
31;1;1;305;;;;708400;"N_C";621400;"N_D";;;;
