importId;company.importId;sequenceTypeSelect;sequenceLettersTypeSelect
100;1;NUMBERS;UPPERCASE
101;1;NUMBERS;UPPERCASE
102;1;NUMBERS;UPPERCASE
103;1;NUMBERS;UPPERCASE
104;1;NUMBERS;UPPERCASE
105;1;NUMBERS;UPPERCASE
106;1;NUMBERS;UPPERCASE
109;1;NUMBERS;UPPERCASE
110;1;NUMBERS;UPPERCASE
111;1;NUMBERS;UPPERCASE
112;1;NUMBERS;UPPERCASE
113;1;NUMBERS;UPPERCASE
114;1;NUMBERS;UPPERCASE
115;1;NUMBERS;UPPERCASE
116;1;NUMBERS;UPPERCASE
117;1;NUMBERS;UPPERCASE
118;1;NUMBERS;UPPERCASE
119;1;NUMBERS;UPPERCASE
120;1;NUMBERS;UPPERCASE
121;1;NUMBERS;UPPERCASE
122;1;NUMBERS;UPPERCASE
123;1;NUMBERS;UPPERCASE
124;1;NUMBERS;UPPERCASE
125;1;NUMBERS;UPPERCASE
126;1;NUMBERS;UPPERCASE
127;1;NUMBERS;UPPERCASE
128;1;NUMBERS;UPPERCASE
129;1;NUMBERS;UPPERCASE
130;1;NUMBERS;UPPERCASE
131;1;NUMBERS;UPPERCASE
132;1;NUMBERS;UPPERCASE
133;1;NUMBERS;UPPERCASE
134;1;NUMBERS;UPPERCASE
135;1;NUMBERS;UPPERCASE
136;1;NUMBERS;UPPERCASE
137;1;NUMBERS;UPPERCASE
138;1;NUMBERS;UPPERCASE
139;1;NUMBERS;UPPERCASE
140;1;NUMBERS;UPPERCASE
141;1;NUMBERS;UPPERCASE
142;1;NUMBERS;UPPERCASE
143;1;NUMBERS;UPPERCASE
144;1;NUMBERS;UPPERCASE
145;1;NUMBERS;UPPERCASE
146;1;NUMBERS;UPPERCASE
147;1;NUMBERS;UPPERCASE
148;1;NUMBERS;UPPERCASE
149;1;NUMBERS;UPPERCASE
150;1;NUMBERS;UPPERCASE
151;1;NUMBERS;UPPERCASE
152;1;NUMBERS;UPPERCASE
153;1;NUMBERS;UPPERCASE
154;1;NUMBERS;UPPERCASE
155;1;NUMBERS;UPPERCASE
156;1;NUMBERS;UPPERCASE
157;1;NUMBERS;UPPERCASE
158;1;NUMBERS;UPPERCASE
159;1;NUMBERS;UPPERCASE
160;1;NUMBERS;UPPERCASE
161;1;NUMBERS;UPPERCASE
162;1;NUMBERS;UPPERCASE
170;1;LETTERS;LOWERCASE
169;1;LETTERS;UPPERCASE
107;1;NUMBERS;UPPERCASE
171;1;NUMBERS;UPPERCASE
172;1;NUMBERS;UPPERCASE
173;1;NUMBERS;UPPERCASE
180;1;NUMBERS;UPPERCASE
181;1;NUMBERS;UPPERCASE
