"code_fichier";"description_operation";"date_fin";"nom_fichier";"code_operation";"libelle_operation";"description_operation";"operation_technique";"virement";"prelevement";"prelevement_sepa";"lcr_bor";"cheque"
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"01";"Chèques payés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"02";"Remises de chèques";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"03";"Chèques impayés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"04";"Versements espèces";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"05";"Virements reçus";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"06";"Virements émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"07";"LCR/BOR domiciliés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"08";"Prélèvements, TIP et Télérèglements domiciliés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"09";"Prélèvements, TIP et Télérèglements émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"10";"Prélèvements, TIP et Télérèglements rejetés/impayés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"11";"Factures cartes de paiement/DAB-GAB";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"12";"Rejets/retours de virement";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"13";"Virements de trésorerie reçus";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"14";"Virements de trésorerie émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"15";"Remises de chèques sur caisse";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"18";"Autres virements reçus";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"21";"Autres virements émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"22";"TIP domiciliés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"24";"TIP émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"26";"TIP rejetés/impayés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"27";"Prélèvements rejetés/impayés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"28";"Factures cartes payées";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"29";"Retraits DAB-GAB";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"30";"Factures cartes remises";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"31";"Remises d'effets à l'encaissement";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"32";"Remises à l'escompte (papier commercial/chèque)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"33";"Effets impayés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"34";"Incidents sur effets";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"35";"Remises de LCR/BOR à l'encaissement";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"36";"Remises de facture CB crédit";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"37";"Remises de LCR/BOR à l'escompte";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"38";"Factures CB impayée / rejetée";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"39";"Virements d’origine extérieure (VOE) reçus";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"41";"Transferts vers/en provenance de l'étranger";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"42";"Achats/ventes de devises";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"43";"Autres opérations avec l'étranger";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"44";"Virements internationaux émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"45";"Virements internationaux reçus";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"46";"Achats de devises au comptant";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"47";"Ventes de devises au comptant";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"48";"Levées sur achat à terme";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"49";"Livraisons sur vente à terme";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"51";"Achats et ventes de titres";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"52";"Diverses opérations sur titres";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"53";"Achats/souscriptions VM/BF (Valeurs mobilières/ Bourses Françaises)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"54";"Ventes de VM/BF (Valeurs mobilières/ Bourses Françaises) ";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"55";"Solde de liquidation – BF (Bourses Françaises)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"56";"Achats OPCVM";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"57";"Ventes OPCVM";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"58";"Achats TCN";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"59";"Ventes TCN";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"61";"Agios";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"62";"Commissions et frais divers, dont intérêts compensatoires";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"63";"Produits financiers";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"64";"Commissions y compris taxes";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"65";"Commissions hors taxes";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"66";"Commissions non taxables";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"67";"Taxes";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"68";"Autres opérations avec l'étranger - Débit";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"69";"Autres opérations avec l'étranger - Crédit";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"70";"Charges financières";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"71";"Tirage de crédits";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"72";"Echéance crédits";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"73";"Emission de valeurs mobilières";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"74";"Emission de titres de créances";;;;;;;
