"importId";"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk";"company.importId";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"commonPosition";"serviceType_code";"defaultTax.code"
1;0;;"Chart of Account Root";"view";;1;;;;;0;"NDAS";
2;"CL1_5";0;"Balance sheet accounts";"view";;1;;;;;0;"NDAS";
3;"CL6_7";0;"Management accounts";"view";;1;;;;;0;"NDAS";
4;"CL1";"CL1_5";"Capital accounts";"view";;1;;;;;0;"NDAS";
5;"CL2";"CL1_5";"Property accounts";"view";;1;;;;;0;"NDAS";
6;"CL3";"CL1_5";"Inventory accounts and in-progress";"view";;1;;;;;0;"NDAS";
7;"CL4";"CL1_5";"Third party accounts";"view";;1;;;;;0;"NDAS";
8;"CL5";"CL1_5";"Financial Accounts";"view";;1;;;;;0;"NDAS";
9;"CL6";"CL6_7";"Expense Accounts";"view";;1;;;;;0;"NDAS";
10;"CL7";"CL6_7";"Revenue Accounts";"view";;1;;;;;0;"NDAS";
11;"CL8";0;"Special Accounts";"view";;1;;;;;0;"NDAS";
12;10;"CL1";"Capital and reserves";"view";;1;;;;;0;"NDAS";
13;101000;10;"Capital";"equity";;1;;;;;2;"NDAS";
14;101100;101000;"Issued capital - uncalled";"equity";;1;;;;;2;"NDAS";
15;101200;101000;"Capital subscribed - called unpaid";"equity";;1;;;;;2;"NDAS";
16;101300;101000;"Capital subscribed - called paid";"equity";;1;;;;;1;"NDAS";
17;101310;101300;"Part-unredeemed share capital";"equity";;1;;;;;2;"NDAS";
18;101320;101300;"Amortized principal/depreciated capital";"equity";;1;;;;;2;"NDAS";
19;101800;101000;"Subscribed capital subject to special regulations";"equity";;1;;;;;2;"NDAS";
20;104000;10;"Premiums related to capital";"equity";;1;;;;;2;"NDAS";
21;104100;104000;"Share premium";"equity";;1;;;;;1;"NDAS";
22;104200;104000;"Merger premiums";"equity";;1;;;;;1;"NDAS";
23;104300;104000;"Contribution premiums";"equity";;1;;;;;1;"NDAS";
24;104400;104000;"Premium conversion of bonds into shares";"equity";;1;;;;;1;"NDAS";
25;104500;104000;"Good Stock";"equity";;1;;;;;0;"NDAS";
26;105000;10;"Revaluation";"equity";;1;;;;;2;"NDAS";
27;105100;105000;"Special revaluation reserve";"equity";;1;;;;;0;"NDAS";
28;105200;105000;"Voluntary revaluation reserve";"equity";;1;;;;;0;"NDAS";
29;105300;105000;"Revaluation reserve";"equity";;1;;;;;0;"NDAS";
30;105500;105000;"Unrealized surplus from the appreciation of assets/Revaluation Surplus (other legal transactions)";"equity";;1;;;;;0;"NDAS";
31;105700;105000;"Other revaluation reserves in France";"equity";;1;;;;;0;"NDAS";
32;105800;105000;"Other revaluation reserves in England";"equity";;1;;;;;0;"NDAS";
33;106000;10;"Reserves";"equity";;1;;;;;2;"NDAS";
34;106100;106000;"Legal Reserves";"equity";;1;;;;;1;"NDAS";
35;106110;106100;"General statutory reserve";"equity";;1;;;;;1;"NDAS";
36;106120;106100;"Long-term capital gain ";"equity";;1;;;;;1;"NDAS";
37;106200;106000;"Restricted reserve";"equity";;1;;;;;2;"NDAS";
38;106300;106000;"Statutory or contractual reserves";"equity";;1;;;;;0;"NDAS";
39;106400;106000;"Special regulatory reserve";"equity";;1;;;;;1;"NDAS";
40;106410;106400;"Long-term capital gain ";"equity";;1;;;;;1;"NDAS";
41;106430;106400;"Reserves resulting from the granting of investment subsidies";"equity";;1;;;;;1;"NDAS";
42;106480;106400;"Other special regulatory reserve";"equity";;1;;;;;1;"NDAS";
43;106800;106000;"Other Reserves";"equity";;1;;;;;1;"NDAS";
44;106810;106800;"self-insurance reserve";"equity";;1;;;;;1;"NDAS";
45;106880;106800;"Various reserves";"equity";;1;;;;;1;"NDAS";
46;107000;10;"Equity method evaluation difference";"equity";;1;;;;;0;"NDAS";
47;108000;10;"Behalf of the operator";"equity";;1;;;;;0;"NDAS";
48;109000;10;"Shareholders: issued capital - uncalled";"asset";;1;;;;;2;"NDAS";
49;11;"CL1";"Retained earnings (credit or debit balance)";"view";;1;;;;;2;"NDAS";
50;110000;11;"Retained earnings (balance)";"equity";;1;;;;;1;"NDAS";
51;119000;11;"Retained earnings (debit balance)";"equity";;1;;;;;2;"NDAS";
52;12;"CL1";"Profit for the year (profit or loss)";"view";;1;;;;;2;"NDAS";
53;120000;12;"Profit for the year (earnings)";"equity";;1;;;;;2;"NDAS";
54;129000;12;"Profit for the year (loss)";"equity";;1;;;;;1;"NDAS";
55;13;"CL1";"Investment subsidies";"view";;1;;;;;2;"NDAS";
56;131000;13;"Equipment Grants";"equity";;1;;;;;2;"NDAS";
57;131100;131000;"State";"equity";;1;;;;;2;"NDAS";
58;131200;131000;"Regions";"equity";;1;;;;;2;"NDAS";
59;131300;131000;"Departements";"equity";;1;;;;;2;"NDAS";
60;131400;131000;"municipalities";"equity";;1;;;;;2;"NDAS";
61;131500;131000;"Public Sector";"equity";;1;;;;;2;"NDAS";
62;131600;131000;"public enterprise";"equity";;1;;;;;2;"NDAS";
63;131700;131000;"Businesses and private organizations";"equity";;1;;;;;2;"NDAS";
64;131800;131000;"Other";"equity";;1;;;;;2;"NDAS";
65;138000;13;"Other investment subsidies (same breakdown as Account 131)";"equity";;1;;;;;1;"NDAS";
66;139000;13;"Investment subsidies included in the income statement";"equity";;1;;;;;2;"NDAS";
67;139100;139000;"Equipments Subsidiaries";"equity";;1;;;;;2;"NDAS";
68;139110;139100;"State";"equity";;1;;;;;2;"NDAS";
69;139120;139100;"Regions";"equity";;1;;;;;2;"NDAS";
70;139130;139100;"Departements";"equity";;1;;;;;2;"NDAS";
71;139140;139100;"Commons";"equity";;1;;;;;2;"NDAS";
72;139150;139100;"Public Sector";"equity";;1;;;;;2;"NDAS";
73;139160;139100;"public enterprise";"equity";;1;;;;;2;"NDAS";
74;139170;139100;"Businesses and private organizations";"equity";;1;;;;;2;"NDAS";
75;139180;139100;"Other";"equity";;1;;;;;2;"NDAS";
76;139800;139000;"Other investment subsidies (same breakdown as Account 1391)";"equity";;1;;;;;2;"NDAS";
77;14;"CL1";"Regulated provisions";"view";;1;;;;;2;"NDAS";
78;142000;14;"Regulated provisions relating to fixed assets";"equity";;1;;;;;2;"NDAS";
79;142300;142000;"Provisions recovery of mineral deposits and petroleum";"equity";;1;;;;;2;"NDAS";
80;142400;142000;"Provisions for investment (employee participation)";"equity";;1;;;;;2;"NDAS";
81;143000;14;"Regulated provisions relating to inventories";"equity";;1;;;;;2;"NDAS";
82;143100;143000;"Rise in prices";"equity";;1;;;;;2;"NDAS";
83;143200;143000;"Fluctuation in prices";"equity";;1;;;;;2;"NDAS";
84;144000;14;"Regulated provisions relating to other assets";"equity";;1;;;;;2;"NDAS";
85;145000;14;"Depreciation allowances";"equity";;1;;;;;0;"NDAS";
86;146000;14;"Special revaluation surplus reserve";"equity";;1;;;;;2;"NDAS";
87;147000;14;"Capital gains reinvested";"equity";;1;;;;;2;"NDAS";
88;148000;14;"Other regulated provisions";"equity";;1;;;;;2;"NDAS";
89;15;"CL1";"Provisions";"view";;1;;;;;2;"NDAS";
90;151000;15;"Provisions for risks";"provision";;1;;;;;2;"NDAS";
91;151100;151000;"dispute and litigation reserve";"provision";;1;;;;;1;"NDAS";
92;151200;151000;"Provisions for customer warranties";"provision";;1;;;;;1;"NDAS";
93;151300;151000;"Provision for loses in futures markets";"provision";;1;;;;;1;"NDAS";
94;151400;151000;"Reserve for fines and penalties";"provision";;1;;;;;1;"NDAS";
95;151500;151000;"Reserve for foreign exchange losses";"provision";;1;;;;;1;"NDAS";
96;151600;151000;"Provisions for losses on contracts";"provision";;1;;;;;1;"NDAS";
97;151800;151000;"Other risk provisions";"provision";;1;;;;;1;"NDAS";
98;153000;15;"Provisions for pensions and similar obligations";"provision";;1;;;;;0;"NDAS";
99;154000;15;"Provisions for restructuring";"provision";;1;;;;;0;"NDAS";
100;155000;15;"Provisions for taxes";"provision";;1;;;;;2;"NDAS";
101;156000;15;"Provisions for renewal of fixed assets (concessionaires)";"provision";;1;;;;;0;"NDAS";
102;157000;15;"Reserve for deferred charges";"provision";;1;;;;;2;"NDAS";
103;157200;157000;"Provisions for major repairs or major overhauls";"provision";;1;;;;;2;"NDAS";
104;158000;15;"Other provisions for charges";"provision";;1;;;;;2;"NDAS";
105;158100;158000;"Provision for reclamation";"provision";;1;;;;;2;"NDAS";
106;16;"CL1";"Debentures and similar debt";"view";;1;;;;;2;"NDAS";
107;161000;16;"Convertible bonds";"debt";;1;;;;;1;"NDAS";
108;163000;16;"Autres emprunts obligataires ";"debt";;1;;;;;2;"NDAS";
109;164000;16;"Other bonds";"debt";;1;;;;;1;"NDAS";
110;165000;16;"Deposits and guarantees received";"debt";;1;;;;;2;"NDAS";
111;165100;165000;"Deposits";"debt";;1;;;;;0;"NDAS";
112;165500;165000;"Deposits";"debt";;1;;;;;2;"NDAS";
113;166000;16;"Employee profit participation";"debt";;1;;;;;2;"NDAS";
114;166100;166000;"Blocked accounts";"debt";;1;;;;;1;"NDAS";
115;166200;166000;"Participation Fund";"debt";;1;;;;;0;"NDAS";
116;167000;16;"Loans and debt Special Terms";"debt";;1;;;;;2;"NDAS";
117;167100;167000;"Issuing equity securities";"debt";;1;;;;;2;"NDAS";
118;167400;167000;"Conditional advances the state";"debt";;1;;;;;0;"NDAS";
119;167500;167000;"Participating loans";"debt";;1;;;;;0;"NDAS";
120;168000;16;"Other loans and similar debts";"debt";;1;;;;;2;"NDAS";
121;168100;168000;"Other loans";"debt";;1;;;;;1;"NDAS";
122;168500;168000;"Annuities capitalized";"debt";;1;;;;;2;"NDAS";
123;168700;168000;"Other liabilities";"debt";;1;;;;;2;"NDAS";
124;168800;168000;"Accrued Interest";"debt";;1;;;;;2;"NDAS";
125;168810;168800;"On convertible bonds";"debt";;1;;;;;1;"NDAS";
126;168830;168800;"On other bonds debenture loans";"debt";;1;;;;;2;"NDAS";
127;168840;168800;"Borrowings from credit institutions";"debt";;1;;;;;2;"NDAS";
128;168850;168800;"Deposits received";"debt";;1;;;;;2;"NDAS";
129;168860;168800;"On employee participation results";"debt";;1;;;;;2;"NDAS";
130;168870;168800;"Borrowings on special terms";"debt";;1;;;;;2;"NDAS";
131;168880;168800;"On other loans and similar debts";"debt";;1;;;;;2;"NDAS";
132;169000;16;"Bond redemption premiums";"debt";;1;;;;;2;"NDAS";
133;17;"CL1";"Liabilities to subsidiaries";"view";;1;;;;;2;"NDAS";
134;171000;17;"Liabilities to subsidiaries (Group)";"debt";;1;;;;;2;"NDAS";
135;174000;17;"Debt to equity investments (excluding Group)";"debt";;1;;;;;2;"NDAS";
136;178000;17;"Debts related to joint ventures";"debt";;1;;;;;2;"NDAS";
137;178100;178000;"Main";"debt";;1;;;;;1;"NDAS";
138;178800;178000;"Accrued Interest";"debt";;1;;;;;1;"NDAS";
139;18;"CL1";"Liaison accounts of institutions and ventures";"view";;1;;;;;2;"NDAS";
140;181000;18;"Accounts Liaison institutions";"debt";;1;;;;;1;"NDAS";
141;186000;18;"Goods and services exchanged between institutions (expense)";"debt";;1;;;;;2;"NDAS";
142;187000;18;"Goods and services exchanged between businesses (products)";"debt";;1;;;;;2;"NDAS";
143;188000;18;"Accounts Liaison ventures";"debt";;1;;;;;2;"NDAS";
144;20;"CL2";"Intangible assets";"view";;1;;;;;2;"NDAS";
145;201000;20;"Facility Fee";"immobilisation";;1;;;;;2;"NDAS";
146;201100;201000;"Formation expenses";"immobilisation";;1;;;;;2;"NDAS";
147;201200;201000;"Start-up costs";"immobilisation";;1;;;;;2;"NDAS";
148;201210;201200;"Exploration expenses";"immobilisation";;1;;;;;2;"NDAS";
149;201220;201200;"Advertising costs";"immobilisation";;1;;;;;2;"NDAS";
150;201300;201000;"Capital increase expenses and miscellaneous transactions (mergers, conversions)";"immobilisation";;1;;;;;2;"NDAS";
151;203000;20;"Costs of research and development";"immobilisation";;1;;;;;2;"NDAS";
152;205000;20;"Concessions and similar rights, patents, licenses, trademarks, processes, software, similar rights and assets";"immobilisation";;1;;;;;2;"DAUT";
153;206000;20;"Lease rights";"immobilisation";;1;;;;;2;"NDAS";
154;207000;20;"Goodwill";"immobilisation";;1;;;;;2;"NDAS";
155;208000;20;"Other intangible assets";"immobilisation";;1;;;;;2;"NDAS";
156;21;"CL2";"Tangible assets";"view";;1;;;;;2;"NDAS";
157;211000;21;"Land";"immobilisation";;1;;;;;2;"NDAS";
158;211100;211000;"Unimproved";"immobilisation";;1;;;;;2;"NDAS";
159;211200;211000;"Developed land";"immobilisation";;1;;;;;2;"NDAS";
160;211300;211000;"Basements and cellars";"immobilisation";;1;;;;;2;"NDAS";
161;211400;211000;"Lots of deposit";"immobilisation";;1;;;;;2;"NDAS";
162;211410;211400;"Careers";"immobilisation";;1;;;;;2;"NDAS";
163;211500;211000;"Unimproved";"immobilisation";;1;;;;;0;"NDAS";
164;211510;211500;"Industrial building complexes (A, B, ...)";"immobilisation";;1;;;;;0;"NDAS";
165;211550;211500;"Administrative and selling housing developments (A, B, ...)";"immobilisation";;1;;;;;0;"NDAS";
166;211580;211500;"Other housing estates";"immobilisation";;1;;;;;0;"NDAS";
167;211581;211580;"Allocated to business operations (A, B, ...)";"immobilisation";;1;;;;;0;"NDAS";
168;211588;211580;"Assigned to non-business operations (A, B, ...)";"immobilisation";;1;;;;;0;"NDAS";
169;211600;211000;"Order on capital account";"immobilisation";;1;;;;;0;"NDAS";
170;212000;21;"Fixtures and land improvements (same breakdown as the total of 211)";"immobilisation";;1;;;;;0;"NDAS";
171;213000;21;"Constructions";"immobilisation";;1;;;;;2;"NDAS";
172;213100;213000;"Buildings";"immobilisation";;1;;;;;2;"NDAS";
173;213110;213100;"Industrial building complexes (A, B, ...)";"immobilisation";;1;;;;;2;"NDAS";
174;213150;213100;"Administrative and selling housing developments (A, B, ...)";"immobilisation";;1;;;;;2;"NDAS";
175;213180;213100;"Other housing estates";"immobilisation";;1;;;;;2;"NDAS";
176;213181;213180;"Allocated to business operations (A, B, ...)";"immobilisation";;1;;;;;2;"NDAS";
177;213188;213180;"Assigned to non-business operations (A, B, ...)";"immobilisation";;1;;;;;2;"NDAS";
178;213500;213000;"General facilities, fixtures and fittings of buildings (same breakdown as Account 2131)";"immobilisation";;1;;;;;2;"NDAS";
179;213800;213000;"Infrastructure works";"immobilisation";;1;;;;;2;"NDAS";
180;213810;213800;"Tract of land";"immobilisation";;1;;;;;2;"NDAS";
181;213820;213800;"Assault Iron";"immobilisation";;1;;;;;2;"NDAS";
182;213830;213800;"Waterways";"immobilisation";;1;;;;;2;"NDAS";
183;213840;213800;"Dams";"immobilisation";;1;;;;;2;"NDAS";
184;213850;213800;"Airfield runways";"immobilisation";;1;;;;;2;"NDAS";
185;214000;21;"Buildings on land of another (same breakdown as Account 213)";"immobilisation";;1;;;;;2;"NDAS";
186;215000;21;"Technical facilities equipment and tooling";"immobilisation";;1;;;;;2;"NDAS";
187;215100;215000;"Specialized complex installations";"immobilisation";;1;;;;;2;"NDAS";
188;215110;215100;"On own land";"immobilisation";;1;;;;;2;"NDAS";
189;215140;215100;"On other land";"immobilisation";;1;;;;;2;"NDAS";
190;215300;215000;"Facilities to specific character";"immobilisation";;1;;;;;2;"NDAS";
191;215310;215300;"On own land";"immobilisation";;1;;;;;2;"NDAS";
192;215340;215300;"On other land";"immobilisation";;1;;;;;2;"NDAS";
193;215400;215000;"Industrial equipment";"immobilisation";;1;;;;;2;"NDAS";
194;215500;215000;"Industrial Machinery";"immobilisation";;1;;;;;2;"NDAS";
195;215700;215000;"Fixtures and fittings of industrial machinery and equipment";"immobilisation";;1;;;;;2;"NDAS";
196;218000;21;"Other tangible assets";"immobilisation";;1;;;;;2;"NDAS";
197;218100;218000;"General facilities, fixtures and fittings various";"immobilisation";;1;;;;;2;"HONO";
