"code";"wording";"supplementaryUnit";"parentCode"
"01";"CHAPITRE 1 - ANIMAUX VIVANTS";"";""
"0101";"Chevaux, ânes, mulets et bardots, vivants";"";"01"
"0101 21 00";"Chevaux, ânes, mulets et bardots, vivants > Chevaux > reproducteurs de race pure";"p/st";"0101"
"0101 29";"Chevaux, ânes, mulets et bardots, vivants > Chevaux > autres";"";"0101"
"0101 29 10";"Chevaux, ânes, mulets et bardots, vivants > Chevaux > autres > destinés à la boucherie";"p/st";"0101 29"
"0101 29 90";"Chevaux, ânes, mulets et bardots, vivants > Chevaux > autres > autres";"p/st";"0101 29"
"0101 30 00";"Chevaux, ânes, mulets et bardots, vivants > Ânes";"p/st";"0101"
"0101 90 00";"Chevaux, ânes, mulets et bardots, vivants > autres";"p/st";"0101"
"0102";"Animaux vivants de l'espèce bovine";"";"01"
"0102 21";"Animaux vivants de l'espèce bovine > Bovins domestiques > reproducteurs de race pure";"";"0102"
"0102 21 10";"Animaux vivants de l'espèce bovine > Bovins domestiques > reproducteurs de race pure > Génisses (bovins femelles qui n'ont jamais vêlé)";"p/st";"0102 21"
"0102 21 30";"Animaux vivants de l'espèce bovine > Bovins domestiques > reproducteurs de race pure > Vaches";"p/st";"0102 21"
"0102 21 90";"Animaux vivants de l'espèce bovine > Bovins domestiques > reproducteurs de race pure > autres";"p/st";"0102 21"
"0102 29";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres";"";"0102"
"0102 29 05";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > du sous-genre Bibos ou du sous-genre Poephagus";"p/st";"0102 29"
"0102 29 10";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids n'excédant pas 80 kg";"p/st";"0102 29"
"0102 29 21";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 80 kg mais n'excédant pas 160 kg > destinés à la boucherie";"p/st";"0102 29"
"0102 29 29";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 80 kg mais n'excédant pas 160 kg > autres";"p/st";"0102 29"
"0102 29 41";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 160 kg mais n'excédant pas 300 kg > destinés à la boucherie";"p/st";"0102 29"
"0102 29 49";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 160 kg mais n'excédant pas 300 kg > autres";"p/st";"0102 29"
"0102 29 51";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 300 kg > Génisses (bovins femelles qui n'ont jamais vêlé) > destinées à la boucherie";"p/st";"0102 29"
"0102 29 59";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 300 kg > Génisses (bovins femelles qui n'ont jamais vêlé) > autres";"p/st";"0102 29"
"0102 29 61";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 300 kg > Vaches > destinées à la boucherie";"p/st";"0102 29"
"0102 29 69";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 300 kg > Vaches > autres";"p/st";"0102 29"
"0102 29 91";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 300 kg > autres > destinés à la boucherie";"p/st";"0102 29"
"0102 29 99";"Animaux vivants de l'espèce bovine > Bovins domestiques > autres > autres > d'un poids excédant 300 kg > autres > autres";"p/st";"0102 29"
