"name";"stockLocation.importId";"product.importId";"minQty";"idealQty";"maxQty";"reOrderQty";"useIdealQty";"useMaxQty";"useCaseSelect";"orderAlertSelect";"typeSelect"
"Serveur classique";1;110;5;5;1000;15;"true";"true";1;3;0
"Serveur haute performance";1;111;1;1;1000;5;"true";"true";1;3;0
"Imprimante Jet d'encre";1;120;10;10;1000;20;"true";"true";1;2;0
"Imprimante Laser";1;121;5;5;1000;15;"true";"true";1;2;0
"Ecran LED HD 22 pouces";1;130;3;3;1000;9;"true";"true";1;2;0
"Ecran LED HD 24 pouces";1;131;5;5;1000;15;"true";"true";1;2;0
"Disque dur SATA 1To";1;200;10;10;1000;30;"true";"true";1;2;0
"Disque dur SSD 100 Go";1;201;5;5;1000;20;"true";"true";1;2;0
"Processeur 4x3,4 GHz";1;210;10;10;1000;20;"true";"true";1;2;0
"Processeur 6x3,2 GHz";1;211;5;5;1000;15;"true";"true";1;2;0
"Boîtier Rack";1;220;25;25;1000;60;"true";"true";1;2;0
"Mémoire 8 Go DDR3";1;230;10;10;1000;30;"true";"true";1;2;0
"Mémoire 16 Go DDR3";1;231;5;5;1000;15;"true";"true";1;2;0
"Carte mère classique";1;240;10;10;1000;30;"true";"true";1;2;0
"Carte mère haut de gamme";1;241;5;5;1000;15;"true";"true";1;2;0
"Alimentation";1;250;30;30;1000;60;"true";"true";1;2;0
"Set connectique";1;300;40;40;1000;100;"true";"true";2;1;1
"Set visserie";1;301;40;40;1000;100;"true";"true";2;1;1
"Cartouche jet d'encre";1;302;20;20;1000;80;"true";"true";1;2;0
"Cartouche encre laser";1;303;20;20;1000;80;"true";"true";1;2;0
"Ramette 500 Feuilles A4 Standard 80 g";1;304;10;10;1000;50;"true";"true";1;2;0
"Stylos billes medium (Bte 50)";1;305;2;2;1000;20;"true";"true";2;1;1
"Café moulu 250g";1;306;4;4;1000;30;"true";"true";2;1;1
"Bouteille Eau (1,5L)";1;307;12;12;1000;48;"true";"true";2;1;1
