"processInstanceId","methodName","className","name","importId"
"","name","name","name.name","1"
"","firstName","name","name.firstName","2"
"","lastName","name","name.lastName","3"
"","fullName","name","name.fullName","4"
"","streetAddress","address","address.streetAddress","5"
"","fullAddress","address","address.fullAddress","6"
"","city","address","address.city","7"
"","zipCode","address","address.zipCode","8"
"","name","company","company.name","9"
"","creditCard","finance","finance.creditCard","10"
"","iban","finance","finance.iban","11"
"","emailAddress","internet","internet.emailAddress","12"
"","cellPhone","phoneNumber","phoneNumber.cellPhone","13"
"","phoneNumber","phoneNumber","phoneNumber.phoneNumber","14"
"","latitude","address","address.latitude","15"
"","longitude","address","address.longitude","16"
"","streetAddressNumber","address","address.streetAddressNumber","17"
"","secondaryAddress","address","address.secondaryAddress","18"
"","domainName","internet","internet.url","19"
"","title","job","job.title","20"
"","bool","bool","bool.bool","21"
"","imei","code","code.imei","22"
"","birthday","date","date.birthday","23"
"","character","lorem","lorem.character","24"
"","sentence","lorem","lorem.sentence","25"
"","word","lorem","lorem.word","26"
"","department","commerce","commerce.department","27"
