"name";"roles"
"menu-team";"Base Read|Base User|Base Manager"
"menu-team-tasks";"Base Read|Base User|Base Manager"
"menu-team-teams";"Base Read|Base User|Base Manager"
"menu-team-tasks-due";"Base Read|Base User|Base Manager"
"menu-team-tasks-todo";"Base Read|Base User|Base Manager"
"menu-team-tasks-open";"Base Read|Base User|Base Manager"
"menu-team-tasks-assigned";"Base Read|Base User|Base Manager"
"menu-team-tasks-created";"Base Read|Base User|Base Manager"
"menu-team-teams-all";"Base Read|Base User|Base Manager"
"menu-team-teams-my";"Base Read|Base User|Base Manager"
"menu-dms";"Base Read|Base User|Base Manager"
"menu-dms-all";"Base Read|Base User|Base Manager"
"menu-dms-my";"Base Read|Base User|Base Manager"
"menu-dms-config";"Base Read|Base User|Base Manager"
"menu-dms-config-tags";"Base Read|Base User|Base Manager"
"menu-mail";"Base Read|Base User|Base Manager"
"menu-mail-inbox";"Base Read|Base User|Base Manager"
"menu-mail-important";"Base Read|Base User|Base Manager"
"menu-mail-archive";"Base Read|Base User|Base Manager"
