"module";"object";"view";"field";"help"
"axelor-production";"ProdProcess";"prod-process-form";"isConsProOnOperation";"Case à cocher permettant de déclencher une consommation par phase sur les ordres de fabrication rattachés à cette gamme. Cette option permettra de paramétrer une liste de produit à consommer sur chaque phase de la gamme."
"axelor-production";"ProdProcess";"prod-process-form";"outsourcing";"Cette case permet d'indiquer si cette gamme sera sous-traitée."
"axelor-production";"ProdProcessLine";"prod-process-line-form";"outsourcing";"Cette case permet d'indiquer si cette phase sera sous-traitée."
"axelor-production";"ProdProcessLine";"prod-process-line-form";"minCapacityPerCycle";"Capacité minimum par cycle de réalisation de la phase."
"axelor-production";"ProdProcessLine";"prod-process-line-form";"maxCapacityPerCycle";"Capacité maximum par cycle de réalisation de la phase."
"axelor-production";"ProdProcessLine";"prod-process-line-form";"durationPerCycle";"Durée du cycle de production pour la phase."
"axelor-production";"ProdProcessLine";"prod-process-line-form";"toConsumeProdProductList";"Si la case ""Gerer la consommation par phases"" est cochée sur la gamme, ce tableau permet de renseigner la liste des produits nécessaires à la réalisation de la phase."
"axelor-production";"BillOfMaterial";"bill-of-material-form";"computeCostPrice";"Ce bouton permet de calculer le coût de revient du produit associé à la nomenclature, sur la base des sous-produits et matière premières utilisées ainsi que sur la base des postes de charges et de la gamme de production utilisée."
"axelor-production";"BillOfMaterial";"bill-of-material-form";"updateProductCostPrice";"Ce bouton permet de mettre à jour le coût de revient par rapport au dernier calcul. En effet les prix des matières premières et de la main d'oeuvre peuvent évoluer et il devient nécessaire de mettre à jour le coût de revient plus ou moins régulièrement."
"axelor-production";"BillOfMaterial";"bill-of-material-line-form";"hasNoManageStock";"Cocher cette case permet d'indiquer que les stocks ne seront pas gérés sur cette ligne. Lors de la production, aucun mouvement de stock ne sera généré sur cette ligne de nomenclature."
"axelor-production";"BillOfMaterial";"bill-of-material-line-form";"priority";"Permet d'indiquer une priorité pour la ligne de nomenclature."
"axelor-production";"WorkCenter";"work-center-form";"machine";"Pour les postes de charges comprenant une machine, il s'agit de la machine utilisée par défaut."
"axelor-production";"WorkCenter";"work-center-form";"minCapacityPerCycle";"Capacité minimum de production par cycle de la machine."
"axelor-production";"WorkCenter";"work-center-form";"maxCapacityPerCycle";"Capacité maximum de production par cycle de la machine."
"axelor-production";"WorkCenter";"work-center-form";"durationPerCycle";"Durée du cycle de production de la machine."
"axelor-production";"WorkCenter";"work-center-form";"prodHumanResourceList";"Tableau permettant de configurer la liste d'employés ou de profils employés nécessaires sur le poste de charge ainsi que la durée d'intervention de chacun."
"axelor-production";"Machine";"machine-form";"startingDuration";"Temps que met la machine à démarrer avant de pouvoir être utilisée."
"axelor-production";"Machine";"machine-form";"setupDuration";"Temps entre deux cycles. Il s'agit du temps qu'il faut attendre après la fin d'un cycle pour pouvoir en commencer un nouveau."
"axelor-production";"Machine";"machine-form";"endingDuration";"Temps de clôture de la machine."
"axelor-production";"Machine";"machine-form";"weeklyPlanning";"Permet de sélectionner un planning général de disponibilité de la machine (mi-temps ou pleins-temps) ."
"axelor-production";"AppProduction";"app-production-config-form";"prodOrderMgtOnSO";"Permet d'activer la gestion des ordres de production depuis les commandes clients."
"axelor-production";"AppProduction";"app-production-config-form";"productionOrderGenerationAuto";"Vous pouvez aussi choisir d'automatiser grâce à cette option la génération des ordres de production depuis les commandes clients. Dès qu'une commande nécéssitant la production d'un produit sera confirmée, un ordre de production sera généré automatiquement.
"
"axelor-production";"AppProduction";"app-production-config-form";"enableConfigurator";"Cette option permet d'activer les configurateurs de nomenclature, de gamme et de phase.
"
"axelor-production";"AppProduction";"app-production-config-form";"manageBillOfMaterialVersion";"En activant cette option vous pourrez créer plusieurs versions d'une nomenclature et ainsi garder un historique de chaque version."
"axelor-production";"AppProduction";"app-production-config-form";"manageResidualProductOnBom";"Cette option va permettre d'indiquer sur chaque nomenclature les produits résiduels générés par la production."
"axelor-production";"AppProduction";"app-production-config-form";"workCenterProduct";"Cette option permet de définir un produit par défaut dans le paramètrage des coûts des postes de charge."
"axelor-production";"AppProduction";"app-production-config-form";"manageProdProcessVersion";"En activant cette option vous pourrez créer plusieurs versions d'une gamme et ainsi garder un historique de chaque version."
"axelor-production";"AppProduction";"app-production-config-form";"manageBusinessProduction";"Cette option permet de gérer la production dans le cadre d'une affaire. Vous pourrez associer des ordres de production et de fabrication à des affaires et ainsi les facturer."
"axelor-production";"AppProduction";"app-production-config-form";"enableTimesheetOnManufOrder";"Cette option permet d'activer la possibilité d'imputer les feuilles de temps d'un utilisateur sur des ordres de fabrication. Sur la fiche employé, dans l'onglet ""Feuilles de temps"", il y a le champ ""Feuilles de temps imputées sur"", et vous pouvez sélectionner ""Feuilles de temps imputées sur O.F"". Cet utilisateur pourra ainsi sur ses feuilles de temps sélectionner des ordres de fabrication, des opérations de fabrication et indiquer les temps passés sur chaque ordre et opération de fabrication."
"axelor-production";"AppProduction";"app-production-config-form";"manufOrderFilterStatusSelect";"Vous pouvez sélectionner le statut des ordres de fabrication utilisés comme filtres dans la vue ""Détails des stocks par produit"". "
"axelor-production";"ProductionConfig";"production-config-form";"stockMoveRealizeOrderSelect";"Vous permet de choisir si les mouvements de stocks des produits nécessaires à la production sont réalisés au démarrage de la production ou à la fin."
