"importId";"birtTemplate.importId";"name";"value";"type"
30;9;"Timezone";"${manufOrder.company?.timezone}";"string"
31;9;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
32;9;"ManufOrderId";"${manufOrder.id.toString()}";"string"
451;9;"activateBarCodeGeneration";"${__bean__(com.axelor.apps.base.service.app.AppBaseService.class).getAppBase().getActivateBarCodeGeneration()}";"boolean"
60;19;"Timezone";"${operationOrder.manufOrder?.company?.timezone}";"string"
61;19;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
62;19;"OperationOrderId";"${operationOrder.id.toString()}";"string"
452;61;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
453;61;"ProdProcessId";"${prodProcess.id.toString()}";"string"
454;61;"Timezone";"${prodProcess.company?.timezone}";"string"
455;62;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
456;62;"Timezone";"${billOfMaterial.company?.timezone}";"string"
457;62;"BillOfMaterialId";"$billOfMaterial.id";"decimal"
461;63;"RawMaterialRequirementId";"$rawMaterialRequirement.id";"decimal"
462;63;"Timezone";"${rawMaterialRequirement.company?.timezone}";"string"
463;63;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
466;64;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
467;64;"Timezone";"${costSheet.manufOrder?.company?.timezone}";"string"
468;64;"CostSheetId";"$costSheet.id";"decimal"
469;64;"manageCostSheetGroup";"${__bean__(com.axelor.apps.production.service.app.AppProductionService.class).getAppProduction().getManageCostSheetGroup()}";"boolean"
470;64;"BaseUrl";"${com.axelor.app.AppSettings.get().getBaseURL()}";"string"
471;65;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
472;65;"Timezone";"${productionBatch.company?.timezone}";"string"
473;65;"companyId";"${productionBatch.company?.id ?: 0}";"decimal"
474;65;"locationId";"${productionBatch.workshopStockLocation?.id ?: 0}";"decimal"
475;65;"editionDate";"${java.time.format.DateTimeFormatter.ofPattern(""MMM d, yyyy, hh:mm a"").format(productionBatch.updatedOn)}";"string"
481;66;"mpsId";"${mpsCharge.id}";"decimal"
482;66;"logoId";"${__user__?.activeCompany?.logo?.id}";"decimal"
483;66;"startMonthDate";"${mpsCharge.startMonthDate?.format(java.time.format.DateTimeFormatter.ofPattern(""dd/MM/YYYY""))}";"string"
484;66;"endMonthDate";"${mpsCharge.endMonthDate?.format(java.time.format.DateTimeFormatter.ofPattern(""dd/MM/YYYY""))}";"string"
