"importId";"budget.importId";"fromDate";"toDate";"amountExpected";"availableAmount";"toBeCommittedAmount"
11;11;"TODAY[1d]";"TODAY[15d]";200;200;200
12;11;"TODAY[16d]";"TODAY[30d]";200;200;200
13;12;"TODAY[1d]";"TODAY[15d]";250;250;250
14;12;"TODAY[16d]";"TODAY[30d]";250;250;250
15;13;"TODAY[1d]";"TODAY[15d]";800;800;800
16;13;"TODAY[16d]";"TODAY[30d]";800;800;800
17;14;"TODAY[1d]";"TODAY[15d]";900;900;900
18;14;"TODAY[16d]";"TODAY[30d]";900;900;900
21;21;"TODAY[1d]";"TODAY[15d]";200;200;200
22;21;"TODAY[16d]";"TODAY[30d]";200;200;200
23;22;"TODAY[1d]";"TODAY[15d]";250;250;250
24;22;"TODAY[16d]";"TODAY[30d]";250;250;250
25;23;"TODAY[1d]";"TODAY[15d]";800;800;800
26;23;"TODAY[16d]";"TODAY[30d]";800;800;800
27;24;"TODAY[1d]";"TODAY[15d]";900;900;900
28;24;"TODAY[16d]";"TODAY[30d]";900;900;900
31;31;"TODAY[1d]";"TODAY[15d]";200;200;200
32;31;"TODAY[16d]";"TODAY[30d]";200;200;200
33;32;"TODAY[1d]";"TODAY[15d]";250;250;250
34;32;"TODAY[16d]";"TODAY[30d]";250;250;250
35;33;"TODAY[1d]";"TODAY[15d]";800;800;800
36;33;"TODAY[16d]";"TODAY[30d]";800;800;800
37;34;"TODAY[1d]";"TODAY[15d]";900;900;900
38;34;"TODAY[16d]";"TODAY[30d]";900;900;900
41;41;"TODAY[1d]";"TODAY[15d]";200;200;200
42;41;"TODAY[16d]";"TODAY[30d]";200;200;200
43;42;"TODAY[1d]";"TODAY[15d]";250;250;250
44;42;"TODAY[16d]";"TODAY[30d]";250;250;250
45;43;"TODAY[1d]";"TODAY[15d]";800;800;800
46;43;"TODAY[16d]";"TODAY[30d]";800;800;800
47;44;"TODAY[1d]";"TODAY[15d]";900;900;900
48;44;"TODAY[16d]";"TODAY[30d]";900;900;900
