"importId";"name";"daily";"dayDaily";"weekly";"weekWeekly";"monday";"tuesday";"wednesday";"thursday";"friday";"saturday";"sunday";"monthly";"monthMonthly";"dayMonthly";"annually";"yearAnnually";"monthAnnuallySelect";"dayAnnually"
1;"Everyday";"true";1;"false";;"false";"false";"false";"false";"false";"false";"false";"false";;;"false";;;
2;"Every Monday";"false";;"true";1;"true";"false";"false";"false";"false";"false";"false";"false";;;"false";;;
3;"Every Tuesday";"false";;"true";1;"false";"true";"false";"false";"false";"false";"false";"false";;;"false";;;
4;"Every Wednesday";"false";;"true";1;"false";"false";"true";"false";"false";"false";"false";"false";;;"false";;;
5;"Every Thursday";"false";;"true";1;"false";"false";"false";"true";"false";"false";"false";"false";;;"false";;;
6;"Every Friday";"false";;"true";1;"false";"false";"false";"false";"true";"false";"false";"false";;;"false";;;
7;"Every Saturday";"false";;"true";1;"false";"false";"false";"false";"false";"true";"false";"false";;;"false";;;
8;"Every Sunday";"false";;"true";1;"false";"false";"false";"false";"false";"false";"true";"false";;;"false";;;
9;"Monthly the 1st";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";1;1;"false";;;
10;"Monthly the 15th";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";1;15;"false";;;
11;"Quarterly the 1st";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";3;1;"false";;;
12;"Quarterly the 15th";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";3;15;"false";;;
13;"Each semester the 1st";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";6;1;"false";;;
14;"Yearly the 31st";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"false";;;"true";1;12;31
