"name";"roles"
"account-root-bank-orders";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-direct-debit";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-sepa-direct-debit";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-lcr";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-lcr-bank-orders";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-international-direct-debit";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-credit-transfer";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account.bank.order.sepa.credit.transfert";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-international-credit-transfer";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-bank-to-bank-transfer";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-sepa-bank-to-bank-transfer";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-international-bank-to-bank-transfer";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-order-send-a-bank-order";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-statement";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-statement-bank-statement";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-reconciliation";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-reconciliation-bank-reconciliation";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-bank-reconciliation-bank-reconciliation-line";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-conf-bank-order";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-conf-bank-order-bank-order-file-format";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-conf-bank-order-bank-order-economic-reason";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-conf-ebics-bank-statement-file-format";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-root-payment-schedule-payment-schedule-line-reject";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-conf-bank-accounting-reconciliation";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-bank-statement-rule";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-bank-statement-query";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"bank-payment-bank-details";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
"account-interbank-code-line";"Bank Payment Manager|Bank Payment User|Bank Payment Role"
