"importId";"openSuiteGooveeSync.importId";"sequence";"osFieldName";"gooveeFieldName";"osDefaultValue";"isSelectField";"osTypeSelect";"osTypeSelectFieldName";"mappingSelect"
"1";1;1;"name";"unit";;;;;1
"2";1;2;"labelToPrinting";"label";;;;;1
"3";1;3;"id";"osId";;;;;3
"4";1;4;"archived";"archived";;;;;1
"5";1;5;"gooveeId";"id";;;;;2
"6";2;1;"parentProductCategory";"parentCategoryId";;"true";1;"gooveeId";1
"7";2;2;"code";"name";;;;;2
"8";2;3;"name";"name";;;;;1
"9";2;4;"gooveeId";"id";;;;;2
"10";2;5;"archived";"archived";;;;;1
"11";2;6;"id";"osId";;;;;3
"12";3;1;"productCategory";"categories";;"true";;;3
"13";3;2;"unit";"unitId";;"true";1;"gooveeId";1
"14";3;3;"parentProduct";"parentProductId";;"true";1;"gooveeId";1
"15";3;4;"productTypeSelect";;"storable";;;;1
"16";3;5;"sellable";"salable";;;;;1
"17";3;6;"purchasable";"buyable";;;;;1
"18";3;7;"purchasePrice";"purchasesPrice";;;;;1
"19";3;8;"salePrice";"salesPrice";;;;;1
"20";3;9;"description";"description";;;;;1
"21";3;10;"code";"code";;;;;1
"22";3;11;"name";"name";;;;;1
"23";3;12;"id";"osId";;;;;3
"24";3;13;"archived";"archived";;;;;1
"25";3;14;"gooveeId";"id";;;;;2
"26";4;1;"partner";"id";;"true";1;"gooveeId";1
"27";4;2;"address";"email";;;;;1
"28";4;3;"name";"email";;;;;2
"29";4;4;"gooveeId";"id";;;;;2
"30";4;5;"archived";"archived";;;;;1
"31";4;6;"id";"osId";;;;;3
"32";5;1;"zip";"zipCode";;;;;2
"33";5;2;"name";"city";;;;;2
"34";5;3;"archived";"archived";;;;;2
"35";5;4;"gooveeId";"id";;;;;2
"36";6;1;"zip";"zipCode";;;;;1
"37";6;2;"city";"city";;"true";1;"name";1
"38";6;3;"addressL4";"address";;;;;1
"39";6;4;"fullName";"address";;;;;2
"40";6;5;"gooveeId";"id";;;;;2
"41";6;6;"archived";"archived";;;;;1
"42";6;7;"id";"osId";;;;;3
"43";7;1;"mainPartner";"mainContactId";;"true";1;"gooveeId";1
"44";7;2;"isSuppier";"isSupplier";;;;;1
"45";7;3;"isCustomer";"isClient";;;;;1
"46";7;4;"isProspect";"isProspect";;;;;1
"47";7;5;"description";"note";;;;;1
"48";7;6;"fixedPhone";"phone";;;;;2
"49";7;7;"mobilePhone";"phone";;;;;1
"50";7;8;"emailAddress";"email";;"true";1;"address";1
"51";7;9;"firstName";"firstName";;;;;1
"52";7;10;"name";"firstName";;;;;3
"53";7;11;"simpleFullName";"fullName";;;;;2
"54";7;12;"fullName";"fullName";;;;;1
"55";7;13;"name";"lastName";;;;;1
"56";7;14;"name";"companyName";;;;;1
"57";7;15;"titleSelect";"civility";"M.";"true";2;;1
"58";7;16;"partnerSeq";"ref";;;;;1
"59";7;17;"id";"osId";;;;;3
"60";7;18;"archived";"archived";;;;;1
"61";7;19;"gooveeId";"id";;;;;2
"62";7;20;"partnerTypeSelect";"isCompany";"false";"true";2;;1
"63";8;1;"mainPartner";"partnerId";;"true";1;"gooveeId";3
"64";8;2;"description";"note";;;;;3
"65";8;3;"fixedPhone";"tel";;;;;3
"66";8;4;"emailAddress";"email";;"true";1;"address";3
"67";8;5;"firstName";"firstName";;;;;3
"68";8;6;"name";"lastName";;;;;3
"69";8;7;"archived";"archived";;;;;3
"70";8;8;"id";"osId";;;;;3
"71";9;1;"address";"id";;"true";1;"gooveeId";2
"72";9;2;"partner";"partnerId";;"true";1;"gooveeId";2
"73";9;3;"isInvoicingAddr";"isInvoicingOk";;;;;2
"74";9;4;"isDefaultAddr";"isDefaultOk";;;;;2
"75";9;5;"gooveeId";"id";;;;;2
"76";9;6;"archived";"archived";;;;;2
"77";10;1;;"typeSelect";"SALES";;;;3
"78";10;2;"company";"spaceId";;"true";1;"gooveeId";1
"79";10;3;"clientPartner";"partnerId";;"true";1;"gooveeId";1
"80";10;4;"inTaxTotal";"total";;;;;1
"81";10;5;"taxTotal";"totalTax";;;;;1
"82";10;6;"exTaxTotal";"totalWithoutTax";;;;;1
"83";10;7;"deliveryAddressStr";"deliveryAddress";;;;;1
"84";10;8;"mainInvoicingAddressStr";"invoicingAddress";;;;;1
"85";10;9;"advanceTotal";"invoicedAmount";;;;;1
"86";10;10;"creationDate";"date";;;;;1
"87";10;11;"orderDate";"date";;;;;1
"88";10;12;"saleOrderSeq";"sequence";;;;;1
"89";10;13;"id";"osId";;;;;3
"90";10;14;"archived";"archived";;;;;1
"91";10;15;"gooveeId";"id";;;;;2
"92";10;16;"currency";;"EUR";"true";1;"code";2
"93";10;17;"statusSelect";;1;;;;2
"94";10;18;;"type";"QUOTATION";;;;3
"95";11;1;"amountInvoiced";"invoicedAmount";;;;;1
"96";11;2;"saleOrder";"orderId";;"true";1;"gooveeId";1
"97";11;3;"unit";"unitId";;"true";1;"gooveeId";1
"98";11;4;"deliveredQty";"deliveredQty";;;;;1
"99";11;5;"inTaxTotal";"total";;;;;1
"100";11;6;"exTaxTotal";"totalWithoutTax";;;;;1
"101";11;7;"productName";"productName";;;;;1
"102";11;8;"discountAmount";"discount";;;;;1
"103";11;9;"price";"unitPrice";;;;;1
"104";11;10;"qty";"qty";;;;;1
"105";11;11;"product";"productId";;"true";1;"gooveeId";1
"106";11;12;"gooveeId";"id";;;;;2
"107";11;13;"archived";"archived";;;;;1
"108";11;14;"id";"osId";;;;;3
