"importId";"purchaseOrder.importId";"sequence";"product.importId";"productName";"qty";"unit.importId";"price";"inTaxPrice";"priceDiscounted";"taxLine.importId";"exTaxTotal";"desiredDelivDate";"estimatedDelivDate"
1;1;1;230;"RAMTOP 8 Go DDR3  - Ref: 8000024";20;1;"59.2";"59.2";"59.2";24;"1184";"TODAY[-4M+15d]";"TODAY[-4M+15d]"
2;1;2;231;"RAMEXTRA 16 Go DDR3  - Ref: 8000026";10;1;"121.6";"121.6";"121.6";24;"1216";"TODAY[-4M+15d]";"TODAY[-4M+15d]"
3;2;1;200;"HARDSHARK SATA 1 To  - Ref: 7458764";30;1;"47.7";"47.7";"47.7";24;"1431";"TODAY[-3M+15d]";"TODAY[-3M+15d]"
4;2;2;201;"SSDSHARK 100 Go  - Ref: 7458897";30;1;"62.21";"62.21";"62.21";24;"1866.3";"TODAY[-3M+15d]";"TODAY[-3M+15d]"
5;3;1;200;"HARDSHARK SATA 1 To  - Ref: 7458764";30;1;45;45;45;24;"1350";"TODAY[-3M+15d]";"TODAY[-3M+15d]"
6;3;2;201;"SSDSHARK 100 Go  - Ref: 7458897";30;1;"57.6";"57.6";"57.6";24;"1728";"TODAY[-3M+15d]";"TODAY[-3M+15d]"
7;4;1;240;"Classic MotherBoard - Ref: MOTH-45678C";50;1;114;114;114;24;"5700";"TODAY[-2M+15d]";"TODAY[-2M+15d]"
8;4;2;241;"High Performance MotherBoard - Ref: MOTH-45678HP";40;1;195;195;195;24;"7800";"TODAY[-2M+15d]";"TODAY[-2M+15d]"
9;4;3;210;"Processor 4x3,4 GHz POWER4CORE - Ref: PROC-651245";60;1;"133.2";"133.2";"133.2";24;"7992";"TODAY[-2M+15d]";"TODAY[-2M+15d]"
10;4;4;211;"Processor 6x3,2 GHz POWER6CORE - Ref: PROC-651257";20;1;432;432;432;24;"8640";"TODAY[-2M+15d]";"TODAY[-2M+15d]"
11;5;1;302;"Cartouche jet d'encre FLUID - Ref: C.MH0100";50;1;21;"25.2";21;13;"1050";"TODAY[-1M]";"TODAY[-1M]"
12;5;2;303;"Cartouche encre laser POWDER - Ref: C.TH0850";40;1;54;"64.8";54;13;"2160";"TODAY[-1M]";"TODAY[-1M]"
13;5;3;304;"Ramette 500 Feuilles A4 Standard 80 g - Ref: P.AS8005";30;1;"4.96";"5.95";"4.96";13;"148.8";"TODAY[-1M]";"TODAY[-1M]"
14;5;4;305;"Stylos billes medium (Bte 50) - Ref: F.SM74851";25;1;12;"14.4";12;13;"300";"TODAY[-1M]";"TODAY[-1M]"
15;6;1;120;"PRINTO Inkjet - Ref: 6541241";5;1;"279.65";"279.65";"279.65";24;"1398.25";"TODAY[-15d]";"TODAY[-15d]"
16;6;2;121;"PROPRINT Laser - Ref: 6543248";10;1;"343.2";"343.2";"343.2";24;"3432";"TODAY[-15d]";"TODAY[-15d]"
17;6;3;130;"LED Screen HD 22 Inch ProViz - Ref: 7545678";15;1;156;156;156;24;"2340";"TODAY[-15d]";"TODAY[-15d]"
18;6;4;131;"LED Screen HD 24 Inch ProViz - Ref: 7545680";10;1;"197.5";"197.5";"197.5";24;"1975";"TODAY[-15d]";"TODAY[-15d]"
19;6;5;220;"Rack Casing - Ref: CS-RACK";20;1;"58.8";"58.8";"58.8";24;"1176";"TODAY[-15d]";"TODAY[-15d]"
20;7;1;230;"RAMTOP 8 Go DDR3  - Ref: 8000024";20;1;"59.2";"59.2";"59.2";24;"1184";"TODAY";"TODAY"
21;7;2;231;"RAMEXTRA 16 Go DDR3  - Ref: 8000026";10;1;"121.6";"121.6";"121.6";24;"1216";"TODAY";"TODAY"
