"importId";"name";"roles.name"
299;"budget-root-budget-management";"Admin"
300;"budget-root-budget-management-budgets";"Admin"
301;"budget-root-budget-management-budgets-sale";"Admin"
302;"budget-root-budget-management-budgets-purchase";"Admin"
303;"budget-root-budget-management-budgets-investment";"Admin"
304;"budget-root-budget-management-budgets-purchase-and-investment";"Admin"
305;"budget-root-budget-management-budget-detailed-view";"Admin"
306;"budget-root-budget-management-templates";"Admin"
307;"budget-root-budget-management-templates-global-budget";"Admin"
308;"budget-root-budget-management-templates-line";"Admin"
309;"budget-root-budget-management-account-model";"Admin"
310;"budget-root-budget-management-templates-import";"Admin"
