"importId";"metaField.name";"title";"targetField";"currentDomain";"advancedExport.importId";"orderBy";"orderByType"
2000;"id";"Id";"id";"GlobalBudget";2000;"false";"asc"
2001;"code";"Code";"code";"GlobalBudget";2000;"false";"asc"
2002;"name";"Name";"name";"GlobalBudget";2000;"false";"asc"
2003;"code";"Company code";"company.code";"GlobalBudget";2000;"false";"asc"
2004;"statusSelect";"Status";"statusSelect";"GlobalBudget";2000;"false";"asc"
2005;"budgetTypeSelect";"Budget type select";"budgetTypeSelect";"GlobalBudget";2000;"false";"asc"
2006;"fromDate";"From";"fromDate";"GlobalBudget";2000;"false";"asc"
2007;"toDate";"To";"toDate";"GlobalBudget";2000;"false";"asc"
2008;"totalAmountExpected";"Expected amount";"totalAmountExpected";"GlobalBudget";2000;"false";"asc"
2009;"totalAmountAvailable";"Available amount";"totalAmountAvailable";"GlobalBudget";2000;"false";"asc"
2010;"availableAmountWithSimulated";"Available amount with simulated moves";"availableAmountWithSimulated";"GlobalBudget";2000;"false";"asc"
2011;"simulatedAmount";"Simulated amount";"simulatedAmount";"GlobalBudget";2000;"false";"asc"
2012;"totalAmountCommitted";"Committed amount";"totalAmountCommitted";"GlobalBudget";2000;"false";"asc"
2013;"realizedWithNoPo";"Realized with no po";"realizedWithNoPo";"GlobalBudget";2000;"false";"asc"
2014;"realizedWithPo";"Realized with po";"realizedWithPo";"GlobalBudget";2000;"false";"asc"
2015;"totalAmountPaid";"Paid total amount";"totalAmountPaid";"GlobalBudget";2000;"false";"asc"
2016;"totalFirmGap";"Firm gap";"totalFirmGap";"GlobalBudget";2000;"false";"asc"
2017;"checkAvailableSelect";"Check available amount";"checkAvailableSelect";"GlobalBudget";2000;"false";"asc"
1000;"id";"Id";"id";"BudgetLevel";1000;"false";"asc"
1001;"code";"Code";"code";"BudgetLevel";1000;"false";"asc"
1002;"name";"Name";"name";"BudgetLevel";1000;"false";"asc"
1003;"fullName";"Global budget full name";"globalBudget.fullName";"BudgetLevel";1000;"false";"asc"
1004;"id";"Global budget id";"globalBudget.id";"BudgetLevel";1000;"false";"asc"
1005;"fullName";"Parent budget level full name";"parentBudgetLevel.fullName";"BudgetLevel";1000;"false";"asc"
1006;"id";"Parent budget level id";"parentBudgetLevel.id";"BudgetLevel";1000;"false";"asc"
1007;"statusSelect";"Status";"statusSelect";"BudgetLevel";1000;"false";"asc"
1008;"fromDate";"From";"fromDate";"BudgetLevel";1000;"false";"asc"
1009;"toDate";"To";"toDate";"BudgetLevel";1000;"false";"asc"
1010;"totalAmountExpected";"Expected amount";"totalAmountExpected";"BudgetLevel";1000;"false";"asc"
1011;"totalAmountAvailable";"Available amount";"totalAmountAvailable";"BudgetLevel";1000;"false";"asc"
1012;"availableAmountWithSimulated";"Available amount with simulated moves";"availableAmountWithSimulated";"BudgetLevel";1000;"false";"asc"
1013;"simulatedAmount";"Simulated amount";"simulatedAmount";"BudgetLevel";1000;"false";"asc"
1014;"totalAmountCommitted";"Committed amount";"totalAmountCommitted";"BudgetLevel";1000;"false";"asc"
1015;"realizedWithNoPo";"Realized with no po";"realizedWithNoPo";"BudgetLevel";1000;"false";"asc"
1016;"realizedWithPo";"Realized with po";"realizedWithPo";"BudgetLevel";1000;"false";"asc"
1017;"totalAmountPaid";"Paid total amount";"totalAmountPaid";"BudgetLevel";1000;"false";"asc"
1018;"totalFirmGap";"Firm gap";"totalFirmGap";"BudgetLevel";1000;"false";"asc"
100;"id";"Id";"id";"Budget";100;"false";"asc"
101;"code";"Code";"code";"Budget";100;"false";"asc"
102;"name";"Name";"name";"Budget";100;"false";"asc"
103;"fullName";"Global budget full name";"globalBudget.fullName";"Budget";100;"false";"asc"
104;"id";"Global budget id";"globalBudget.id";"Budget";100;"false";"asc"
105;"fullName";"Parent budget level full name";"budgetLevel.fullName";"Budget";100;"false";"asc"
106;"id";"Parent budget level id";"budgetLevel.id";"Budget";100;"false";"asc"
107;"statusSelect";"Status";"statusSelect";"Budget";100;"false";"asc"
108;"fromDate";"From";"fromDate";"Budget";100;"false";"asc"
109;"toDate";"To";"toDate";"Budget";100;"false";"asc"
110;"totalAmountExpected";"Expected amount";"totalAmountExpected";"Budget";100;"false";"asc"
111;"availableAmount";"Available amount";"availableAmount";"Budget";100;"false";"asc"
112;"availableAmountWithSimulated";"Available amount with simulated moves";"availableAmountWithSimulated";"Budget";100;"false";"asc"
113;"simulatedAmount";"Simulated amount";"simulatedAmount";"Budget";100;"false";"asc"
114;"totalAmountCommitted";"Committed amount";"totalAmountCommitted";"Budget";100;"false";"asc"
115;"realizedWithNoPo";"Realized with no po";"realizedWithNoPo";"Budget";100;"false";"asc"
116;"realizedWithPo";"Realized with po";"realizedWithPo";"Budget";100;"false";"asc"
117;"totalAmountPaid";"Paid total amount";"totalAmountPaid";"Budget";100;"false";"asc"
118;"totalFirmGap";"Firm gap";"totalFirmGap";"Budget";100;"false";"asc"
119;"category";"Category";"category";"Budget";100;"false";"asc"
3000;"id";"Id";"id";"BudgetLine";3000;"false";"asc"
3001;"fullName";"Budget full name";"budget.fullName";"BudgetLine";3000;"false";"asc"
3002;"id";"Budget id";"budget.id";"BudgetLine";3000;"false";"asc"
3003;"fromDate";"From";"fromDate";"BudgetLine";3000;"false";"asc"
3004;"toDate";"To";"toDate";"BudgetLine";3000;"false";"asc"
3005;"amountExpected";"Expected amount";"amountExpected";"BudgetLine";3000;"false";"asc"
3006;"availableAmount";"Available amount";"availableAmount";"BudgetLine";3000;"false";"asc"
3007;"amountCommitted";"Committed amount";"amountCommitted";"BudgetLine";3000;"false";"asc"
3008;"realizedWithNoPo";"Realized with no po";"realizedWithNoPo";"BudgetLine";3000;"false";"asc"
3009;"realizedWithPo";"Realized with po";"realizedWithPo";"BudgetLine";3000;"false";"asc"
3010;"amountPaid";"Paid total amount";"amountPaid";"BudgetLine";3000;"false";"asc"
3011;"firmGap";"Firm gap";"firmGap";"BudgetLine";3000;"false";"asc"
