"importId";"name";"roles.name"
700;"recruitment-root";"Admin"
701;"recruitment-job-position-open";"Admin"
702;"recruitment-job-application-all";"Admin"
703;"recruitment-config";"Admin"
704;"recruitment-config-education-level";"Admin"
705;"recruitment-config-hiring-stage";"Admin"
706;"recruitment-config-source";"Admin"
707;"recruitment-config-skill";"Admin"
708;"training-root";"Admin"
709;"training-register-all";"Admin"
710;"training-dashboard";"Admin"
711;"training-conf";"Admin"
712;"training-category-all";"Admin"
713;"training-training-all";"Admin"
714;"training-session-all";"Admin"
715;"appraisal-root";"Admin"
716;"appraisal-all-appraisals";"Admin"
717;"appraisal-template-appraisals";"Admin"
718;"appraisal-config";"Admin"
719;"appraisal-config-appraisal-type";"Admin"
