"key";"message";"language"
"value:Recipient details";"Détails du destinataire";"fr"
"value:Address precisions";"Précisions de l'adresse";"fr"
"value:N° and Street label";"N° et libellé de la rue";"fr"
"value:Distribution precisions (POB, Village...)";"Précisions de distribution (BP, Lieu-dit…)";"fr"
"value:Additional delivery information";"Informations de livraison supplémentaires";"fr"
"value:N° and Street name";"N° et nom de rue";"fr"
"value:Apartment number";"Numéro d'appartement";"fr"
"value:Province or territory";"Province ou territoire";"fr"
"value:Postal code";"Code postal";"fr"
"value:Postal box";"Boîte postale";"fr"
"value:Company";"Entreprise";"fr"
"value:State";"État";"fr"
"value:PO box";"Boîte postale";"fr"
"value:Address";"Adresse";"fr"
"value:Department";"Service";"fr"
"value:Postcode";"Code postal";"fr"
"value:State or territory";"État ou territoire";"fr"
"value:PIN code";"Index postal";"fr"
