"importId";"name";"templateLink";"modelName";"templateEngineSelect";"format"
"7";"Invoice";"Invoice.rptdesign";"com.axelor.apps.account.db.Invoice";1;"pdf"
"10";"Payment collection journal";"AccountingReportType1.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"11";"General ledger";"AccountingReportType2.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"12";"Balance";"AccountingReportType3.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"13";"Aged Balance";"AccountingReportType4.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"14";"Cheque deposit slip";"AccountingReportType5.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"15";"Cash payments summary";"AccountingReportType10.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"16";"Journal";"AccountingReportType11.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"17";"VAT Statement";"AccountingReportType12.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"18";"Payment differences";"AccountingReportType13.rptdesign";"com.axelor.apps.account.db.AccountingReport";1;"pdf"
"21";"PaymentVoucher";"PaymentVoucher.rptdesign";"com.axelor.apps.account.db.PaymentVoucher";1;"pdf"
"24";"Project";"Project.rptdesign";"com.axelor.apps.project.db.Project";1;"pdf"
"30";"DebtRecovery";"PaymentReminder.rptdesign";"com.axelor.apps.account.db.DebtRecovery";1;"pdf"
"31";"NoteBills";"NoteBills.rptdesign";"com.axelor.apps.account.db.NoteBills";1;"pdf"
