"importId","name","requestLanguage","request","result"
1,"Number of purchase orders",1,"SELECT COUNT(*) as result FROM PurchaseOrder",9
2,"Number of delivery orders",1,"SELECT COUNT(*) as result FROM StockMove WHERE typeSelect = 2",7
3,"Number of goods receipts",1,"SELECT COUNT(*) as result FROM StockMove WHERE typeSelect = 3",5
4,"Number of customer invoices",1,"SELECT COUNT(*) as result FROM Invoice WHERE operationTypeSelect = 3",7
5,"Number of customer refunds",1,"SELECT COUNT(*) as result FROM Invoice WHERE operationTypeSelect = 4",0
6,"Number of users",1,"SELECT COUNT(*) as result FROM User",22
7,"Number of partners",1,"SELECT COUNT(*) as result FROM Partner",68
8,"Number of addresses",1,"SELECT COUNT(*) as result FROM Address",252
9,"Number of leads",1,"SELECT COUNT(*) as result FROM Lead",30
10,"Number of events",1,"SELECT COUNT(*) as result FROM Event",51
11,"Number of supplier invoices",1,"SELECT COUNT(*) as result FROM Invoice WHERE operationTypeSelect = 1",6
12,"Number of supplier refunds",1,"SELECT COUNT(*) as result FROM Invoice WHERE operationTypeSelect = 2",0
13,"Number of calls",1,"SELECT COUNT(*) as result FROM Event WHERE typeSelect = 1",14
14,"Number of meetings",1,"SELECT COUNT(*) as result FROM Event WHERE typeSelect = 2",25
15,"Number of tasks",1,"SELECT COUNT(*) as result FROM Event WHERE typeSelect = 3",6
16,"Number of tickets",1,"SELECT COUNT(*) as result FROM Event WHERE typeSelect = 6",0
17,"Number of manufacturing orders",1,"SELECT COUNT(*) as result FROM ManufOrder",0
18,"Number of operation orders",1,"SELECT COUNT(*) as result FROM OperationOrder",0
19,"Number of products",1,"SELECT COUNT(*) as result FROM Product WHERE isModel = false",48
20,"Number of bills of materials",1,"SELECT COUNT(*) as result FROM BillOfMaterial",45
21,"Number of sale orders",1,"SELECT COUNT(*) as result FROM SaleOrder",11
22,"Number of payments",1,"SELECT COUNT(*) as result FROM PaymentVoucher",10
23,"Number of moves",1,"SELECT COUNT(*) as result FROM Move",12
24,"Number of move lines",1,"SELECT COUNT(*) as result FROM MoveLine",59
25,"Number of leave requests",1,"SELECT COUNT(*) as result FROM LeaveRequest",0
26,"Number of expenses",1,"SELECT COUNT(*) as result FROM Expense",0
