"importId";"tax.code";"startDate";"endDate";"value"
1;"N_C";"2000-01-01";"2013-12-31";"19.60"
2;"R1_C";"2012-01-01";"2013-12-31";"07.00"
3;"R2_C";"2000-01-01";;"05.50"
4;"U_C";"2000-01-01";;"02.10"
5;"X_C";"2000-01-01";;"00.00"
6;"N_D";"2000-01-01";"2013-12-31";"19.60"
7;"R1_D";"2012-01-01";"2013-12-31";"07.00"
8;"R2_D";"2000-01-01";;"05.50"
9;"U_D";"2000-01-01";;"02.10"
10;"X_D";"2000-01-01";;"00.00"
11;"N_C";"2014-01-01";;"20.00"
12;"R1_C";"2014-01-01";;"10.00"
13;"N_D";"2014-01-01";;"20.00"
14;"R1_D";"2014-01-01";;"10.00"
15;"UE_X_C";"2000-01-01";;"00.00"
16;"EXP_X_C";"2000-01-01";;"00.00"
17;"UE_N_D";"2000-01-01";"2013-12-31";"19.60"
18;"UE_N_D";"2014-01-01";;"20.00"
19;"UE_R1_D";"2012-01-01";"2013-12-31";"07.00"
20;"UE_R1_D";"2014-01-01";;"10.00"
21;"UE_R2_D";"2000-01-01";;"05.50"
22;"UE_U_D";"2000-01-01";;"02.10"
23;"UE_X_D";"2000-01-01";;"00.00"
24;"IMP_X_D";"2000-01-01";;"00.00"
25;"UE_N_D_REV";"2014-01-01";;"20.00"
26;"UE_R1_D_REV";"2014-01-01";;"10.00"
27;"UE_R2_D_REV";"2000-01-01";;"05.50"
28;"UE_U_D_REV";"2000-01-01";;"02.10"
