"weeklyPlanning.importId";"nameSelect";"morningFrom";"morningTo";"afternoonFrom";"afternoonTo";"importId";"sequence"
1;"monday";"08:30:00";"12:00:00";"14:00:00";"17:30:00";1;1
1;"tuesday";"08:30:00";"12:00:00";"14:00:00";"17:30:00";2;2
1;"wednesday";"08:30:00";"12:00:00";"14:00:00";"17:30:00";3;3
1;"thursday";"08:30:00";"12:00:00";"14:00:00";"17:30:00";4;4
1;"friday";"08:30:00";"12:00:00";"14:00:00";"17:30:00";5;5
1;"saturday";;;;;6;6
1;"sunday";;;;;7;7
2;"monday";"08:30:00";"12:00:00";;;8;1
2;"tuesday";"08:30:00";"12:00:00";;;9;2
2;"wednesday";"08:30:00";"12:00:00";;;10;3
2;"thursday";"08:30:00";"12:00:00";;;11;4
2;"friday";"08:30:00";"12:00:00";;;12;5
2;"saturday";;;;;13;6
2;"sunday";;;;;14;7
