"importId";"name";"code";"fromDate";"toDate";"company.importId";"statusSelect";"typeSelect";"periodDurationSelect";"reportedBalanceDate"
1;"FY";"FY";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;1;"month";"TODAY[=1M=1d]"
2;"FY";"FY";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;1;"month";"TODAY[+1y=1M=1d]"
3;"FY";"FY";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;1;"month";"TODAY[+2y=1M=1d]"
4;"CY";"CY";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;0;"month";
5;"CY";"CY";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;0;"month";
6;"CY";"CY";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;0;"month";
7;"PY";"PY";"TODAY[-1y=1M=1d]";"TODAY[-1y=12M=31d]";1;1;2;"12month";
8;"PY";"PY";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;2;"12month";
9;"PY";"PY";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;2;"12month";
10;"MP";"MP";"TODAY[=1M=1d]";"TODAY[=12M=31d]";1;1;3;"month";
11;"MP";"MP";"TODAY[+1y=1M=1d]";"TODAY[+1y=12M=31d]";1;1;3;"month";
