"importId";"birtTemplate.importId";"name";"value";"type"
1;1;"MessageId";"$Message.id$";"string"
2;1;"__locale";"en_EN";"string"
3;1;"Locale";"en";"string"
4;1;"HeaderHeight";"0.00";"decimal"
5;1;"FooterHeight";"0.00";"decimal"
6;2;"BusinessId";"$Project.id$";"string"
7;2;"__locale";"en_EN";"string"
8;2;"Locale";"en";"string"
9;3;"UserId";"$__user__.id$";"decimal"
10;3;"__locale";"en_EN";"string"
11;3;"Locale";"en";"string"
12;3;"AttachmentPath";"/home/axelor/attachments";"string"
13;4;"__locale";"en_EN";"string"
14;4;"Locale";"en";"string"
15;4;"EmployeeId";"$Employee.id$";"decimal"
16;5;"__locale";"en_EN";"string"
17;5;"Locale";"en";"string"
18;5;"ExpenseId";"$Expense.id$";"decimal"
19;6;"__locale";"en_EN";"string"
20;6;"Locale";"en";"string"
21;6;"InventoryId";"$Inventory.id$";"decimal"
22;7;"__locale";"en_EN";"string"
23;7;"Locale";"en";"string"
24;7;"InvoiceId";"$Invoice.id$";"decimal"
25;7;"HeaderHeight";"0.00";"decimal"
26;7;"FooterHeight";"0.00";"decimal"
27;8;"__locale";"en_EN";"string"
28;8;"Locale";"en";"string"
29;8;"LeadId";"$Lead.id$";"string"
30;9;"__locale";"en_EN";"string"
31;9;"Locale";"en";"string"
32;9;"ManufOrderId";"$ManufOrder.id$";"string"
33;10;"__locale";"en_EN";"string"
34;10;"Locale";"en";"string"
35;10;"AccountingReportId";"$AccountingReport.id$";"decimal"
36;11;"__locale";"en_EN";"string"
37;11;"Locale";"en";"string"
38;11;"AccountingReportId";"$AccountingReport.id$";"decimal"
39;12;"__locale";"en_EN";"string"
40;12;"Locale";"en";"string"
41;12;"AccountingReportId";"$AccountingReport.id$";"decimal"
42;13;"__locale";"en_EN";"string"
43;13;"Locale";"en";"string"
44;13;"AccountingReportId";"$AccountingReport.id$";"decimal"
45;14;"__locale";"en_EN";"string"
46;14;"Locale";"en";"string"
47;14;"AccountingReportId";"$AccountingReport.id$";"decimal"
48;15;"__locale";"en_EN";"string"
49;15;"Locale";"en";"string"
50;15;"AccountingReportId";"$AccountingReport.id$";"decimal"
51;16;"__locale";"en_EN";"string"
52;16;"Locale";"en";"string"
53;16;"AccountingReportId";"$AccountingReport.id$";"decimal"
54;17;"__locale";"en_EN";"string"
55;17;"Locale";"en";"string"
56;17;"AccountingReportId";"$AccountingReport.id$";"decimal"
57;18;"__locale";"en_EN";"string"
58;18;"Locale";"en";"string"
59;18;"AccountingReportId";"$AccountingReport.id$";"decimal"
60;19;"__locale";"en_EN";"string"
61;19;"Locale";"en";"string"
62;19;"OperationOrderId";"$OperationOrder.id$";"string"
63;20;"__locale";"en_EN";"string"
64;20;"Locale";"en";"string"
65;20;"PartnerId";"$Partner.id$";"decimal"
66;20;"AttachmentPath";"/home/axelor/attachments";"string"
67;21;"__locale";"en_EN";"string"
68;21;"Locale";"en";"string"
69;21;"PaymentVoucherId";"$PaymentVoucher.id$";"decimal"
70;22;"__locale";"en_EN";"string"
71;22;"Locale";"en";"string"
72;22;"UserId";"$__user__.id$";"decimal"
73;22;"CurrYear";2015;"string"
74;22;"ProductIds";"$Product.id$";"string"
75;23;"__locale";"en_EN";"string"
76;23;"Locale";"en";"string"
77;23;"ProductId";"$Product.id$";"decimal"
78;23;"CompanyId";"$__user__.activeCompany.id$";"decimal"
79;24;"__locale";"en_EN";"string"
80;24;"Locale";"en";"string"
81;24;"ProjectId";"$Project.id$";"decimal"
82;25;"__locale";"en_EN";"string"
83;25;"Locale";"en";"string"
84;25;"PurchaseOrderId";"$PurchaseOrder.id$";"decimal"
85;25;"HeaderHeight";"0.00";"decimal"
86;25;"FooterHeight";"0.00";"decimal"
87;26;"__locale";"en_EN";"string"
88;26;"Locale";"en";"string"
89;26;"SaleOrderId";"$SaleOrder.id$";"decimal"
90;26;"HeaderHeight";"0.00";"decimal"
91;26;"FooterHeight";"0.00";"decimal"
92;27;"__locale";"en_EN";"string"
93;27;"Locale";"en";"string"
94;27;"StockLocationId";"$StockLocation.id$";"string"
95;28;"__locale";"en_EN";"string"
96;28;"Locale";"en";"string"
97;28;"StockMoveId";"$StockMove.id$";"decimal"
98;28;"HeaderHeight";"0.00";"decimal"
99;28;"FooterHeight";"0.00";"decimal"
100;29;"__locale";"en_EN";"string"
101;29;"Locale";"en";"string"
102;29;"TimesheetId";"$Timesheet.id$";"decimal"
103;30;"__locale";"en_EN";"string"
104;30;"Locale";"en";"string"
105;30;"DebtRecoveryHistoryID";"$DebtRecoveryHistory.id$";"decimal"
106;31;"__locale";"en_EN";"string"
107;31;"Locale";"en";"string"
108;31;"NoteBillsId";"$NoteBills.id$";"decimal"
