"module";"object";"view";"field";"help"
"axelor-project";"AppProject";"app-project-config-form";"resourceManagement";"Cette option permet d'activer la réservation de ressources sur les projets. Vous pourrez créer des ressources qui pourront ensuite être réservées sur les projets."
"axelor-project";"Project";"project-form";"imputable";"Lorsque cette option est activée, cela rend le projet sélectionnable lors du remplissage des feuilles de temps du module RH."
"axelor-project";"Project";"project-form";"isShowProgress";"Permet d'activer un champ pour renseigner le % de progression d'une tâche (lors de la création/modification d'une tâche)."
"axelor-project";"Project";"project-form";"isShowPlanning";"Active l'onglet Planification sur l'écran de création de tâche permettant de planifier des temps estimés sur des tâches, pour les confronter aux temps effectivement passés."
"axelor-project";"Project";"project-form";"isShowFrequency";"Active un onglet, sur le formulaire de création de tâche-projet, permettant de répliquer la tache selon une périodicité définie par l'utilisateur."
"axelor-project";"Project";"project-form";"isShowTimeSpent";"Permet d'affecter des temps passés directement depuis une vue tâche. Un onglet récapitulatif (non-modifiable) apparait également dans les onglets de la fiche projet. A noter que si vous utilisez le module Feuille de temps (RH), les temps passés renseignés alimenteront directement les feuilles de temps du module RH pour les collaborateurs/employés concernés."
"axelor-project";"Project";"project-form";"isShowSection";"Permet d'avoir une classification supplémentaire des tâches, personnalisable selon le besoin de l'utilisateur. Les sections sont paramétrables dans le menu sous-menu Configurations du menu projet."
"axelor-project";"Project";"project-form";"isShowTopic";"Permet d'ouvrir des sujets de discussion où les membres du projet peuvent intéragir, accessible depuis le menu ""Outils"" du projet. A différencier d'Annonce qui ne permet pas d'intéraction avec les utilisateurs et de Wiki qui est à considérer comme une base de documentation collaborative sur le projet."
"axelor-project";"Project";"project-form";"isShowGantt";"Active une vue gantt du projet, accessible depuis le menu ""Outils"" du projet."
"axelor-project";"Project";"project-form";"isShowKanbanPerStatus";"Active une vue Kanban du projet avec une classification par statut d'avancement, accessible depuis le menu ""Outils"" du projet."
"axelor-project";"Project";"project-form";"isShowKanbanPerSection";"Active une vue Kanban du projet avec une classification par section, accessible depuis le menu ""Outils"" du projet."
"axelor-project";"Project";"project-form";"isShowCalendarPerStatus";"Active une vue calendrier du projet avec une classification par statut d'avancement, accessible depuis le menu ""Outils"" du projet."
"axelor-project";"Project";"project-form";"isShowCalendarPerSection";"Active une vue calendrier du projet avec une classification par section, accessible depuis le menu ""Outils"" du projet."
"axelor-project";"Project";"project-form";"isShowCalendarPerUser";"Active une vue calendrier du projet avec une classification par utilisateur, accessible depuis le menu ""Outils"" du projet."
"axelor-project";"ProjectTask";"project-task-form";"assignedTo";"permet d'assigner la tâche à un utilisateur. L'utilisateur doit être crée préalablement et être enregistré comme membre du projet sélectionné (sur l'onglet Membres du projet)."
