"module";"object";"view";"field";"help"
"axelor-project";"AppProject";"app-project-config-form";"resourceManagement";"This option enables resource reservation on projects. You can create resources that can be booked on projects."
"axelor-project";"Project";"project-form";"imputable";"When this field is activated, it enables to choose the project when filling timesheet lines of the HR timesheet app."
"axelor-project";"Project";"project-form";"isShowProgress";"Activate a field on a project task where you can record the task progress in %."
"axelor-project";"Project";"project-form";"isShowPlanning";"Activates a Planification tab on the project-task-form allowing to record planned times on tasks, in order to compare with actual spent time."
"axelor-project";"Project";"project-form";"isShowFrequency";"Activate a panel tab, within a project-task-form related to the project, allowing to replicate a task following a date frequency defined by the user."
"axelor-project";"Project";"project-form";"isShowTimeSpent";"Allow to allocate Time spent from the project-task-form. A readonly logtimes paneltab will also appear on the related project-form. Note: if you use the HR timesheets, these log times will allocate HR Timesheet for the concerned colleague."
"axelor-project";"Project";"project-form";"isShowSection";"Allow to activate an additional tasks classification, customizable according the the user needs. Section can be created in the Configuration sub-menu of the Project menu."
"axelor-project";"Project";"project-form";"isShowTopic";"Allow to open discussion topic, where project members can interact, accessible via the the Tools menu."
"axelor-project";"Project";"project-form";"isShowGantt";"Activates a gantt view of the project accessible via the Tools menu."
"axelor-project";"Project";"project-form";"isShowKanbanPerStatus";"Activates a Kanban view with tasks of the project categorized by status, accessible via the Tools menu."
"axelor-project";"Project";"project-form";"isShowKanbanPerSection";"Activates a Kanban view with tasks of the project categorized by section, accessible via the Tools menu."
"axelor-project";"Project";"project-form";"isShowCalendarPerStatus";"Activates a calendar view with tasks of the project categorized by status, accessible via the Tools menu."
"axelor-project";"Project";"project-form";"isShowCalendarPerSection";"Activates a calendar view with tasks of the project categorized by section, accessible via the Tools menu."
"axelor-project";"Project";"project-form";"isShowCalendarPerUser";"Activates a calendar view with tasks of the project categorized by user, accessible via the Tools menu."
"axelor-project";"ProjectTask";"project-task-form";"assignedTo";"Assign the task to a user.The user has to be created beforehand and recorded as a member of the selected project (in the membersPanelTab of the project)."
