"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.project.all";"com.axelor.apps.project.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.project.Project.r";"com.axelor.apps.project.db.Project";"x";;;;;"self.company in (?)";"__user__.companySet";"role.project.r"
"perm.project.ProjectPlanning.r";"com.axelor.apps.project.db.ProjectPlanning";"x";;;;;;;"role.project.r"
"perm.project.ProjectCategory.r";"com.axelor.apps.project.db.ProjectCategory";"x";;;;;;;"role.project.r"
"perm.project.ResourceType.r";"com.axelor.apps.project.db.ResourceType";"x";;;;;;;"role.project.r"
"perm.project.ProjectFolder.r";"com.axelor.apps.project.db.ProjectFolder";"x";;;;;;;"role.project.r"
"perm.project.ResourceBooking.r";"com.axelor.apps.project.db.ResourceBooking";"x";;;;;;;"role.project.r"
"perm.project.Wiki.r";"com.axelor.apps.project.db.Wiki";"x";;;;;;;"role.project.r"
"perm.project.ProjectStatus.r";"com.axelor.apps.project.db.ProjectStatus";"x";;;;;;;"role.project.r"
"perm.project.Resource.r";"com.axelor.apps.project.db.Resource";"x";;;;;;;"role.project.r"
"perm.project.ProjectPlanningTime.r";"com.axelor.apps.project.db.ProjectPlanningTime";"x";;;;;;;"role.project.r"
"perm.project.Project.rwc";"com.axelor.apps.project.db.Project";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.project.rwc"
"perm.project.ProjectPlanning.rwc";"com.axelor.apps.project.db.ProjectPlanning";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.ProjectCategory.rwc";"com.axelor.apps.project.db.ProjectCategory";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.ResourceType.rwc";"com.axelor.apps.project.db.ResourceType";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.ProjectFolder.rwc";"com.axelor.apps.project.db.ProjectFolder";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.ResourceBooking.rwc";"com.axelor.apps.project.db.ResourceBooking";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.Wiki.rwc";"com.axelor.apps.project.db.Wiki";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.ProjectStatus.rwc";"com.axelor.apps.project.db.ProjectStatus";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.Resource.rwc";"com.axelor.apps.project.db.Resource";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.ProjectPlanningTime.rwc";"com.axelor.apps.project.db.ProjectPlanningTime";"x";"x";"x";;;;;"role.project.rwc"
"perm.project.Project.rwcde";"com.axelor.apps.project.db.Project";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.project.rwcde"
"perm.project.ProjectPlanning.rwcde";"com.axelor.apps.project.db.ProjectPlanning";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.ProjectCategory.rwcde";"com.axelor.apps.project.db.ProjectCategory";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.ResourceType.rwcde";"com.axelor.apps.project.db.ResourceType";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.ProjectFolder.rwcde";"com.axelor.apps.project.db.ProjectFolder";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.ResourceBooking.rwcde";"com.axelor.apps.project.db.ResourceBooking";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.Wiki.rwcde";"com.axelor.apps.project.db.Wiki";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.ProjectStatus.rwcde";"com.axelor.apps.project.db.ProjectStatus";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.Resource.rwcde";"com.axelor.apps.project.db.Resource";"x";"x";"x";"x";"x";;;"role.project.rwcde"
"perm.project.ProjectPlanningTime.rwcde";"com.axelor.apps.project.db.ProjectPlanningTime";"x";"x";"x";"x";"x";;;"role.project.rwcde"
