key,message,language
${fullName} plan. st. move,${fullName} plan. st. move,de
${fullName} real st. move,${fullName} real st. move,de
%) on the WAP of,%) auf dem WAP von,de
%s Reverse stock move (From %s),%s Umgekehrte Aktienbewegung (von %s),de
"<><Badge bg=""warning"">Warning : Delivery address is missing.</Badge></>","<><Badge bg=""warning"">Warnung: Die Lieferadresse fehlt.</Badge></>",de
<B>%s or %s</B> not found,<B>%s oder %s</B> nicht gefunden,de
A cancel reason must be selected,Es muss ein Stornogrund ausgewählt werden,de
A partial stock move has been generated (%s),Es wurde eine Teilbestandsbewegung erzeugt (%s),de
ABC analysis,ABC-Analyse,de
AbcAnalysis.stockLocation,AbcAnalysis.stockLocation,de
Account selection to carrier,Auswahl des Kontos zum Träger,de
Accounting family,Familie Buchhaltung,de
Accounting value,Buchhalterischer Wert,de
Action,Aktion,de
Actions,Aktionen,de
Activate bar code generation for stock location,Aktivieren Sie die Barcodeerstellung für den Lagerort,de
Activate bar code generation for tracking number,Aktivieren Sie die Strichcode-Erzeugung für die Kontrollnummer,de
Add all the move,Alle Bewegungen hinzufügen,de
Add concerned move lines,Hinzufügen betroffener Zeilen verschieben,de
Address,Adresse,de
Alert,Alarmierung,de
All storable products used in DEB must have net mass and mass unit information for customs.,Alle in der DEB verwendeten lagerfähigen Erzeugnisse müssen für den Zoll Angaben zur Eigenmasse und zur Masseneinheit enthalten.,de
Allocate,Zuweisen,de
Allocate all,Zuteilung aller,de
Allocations of costs,Zuweisung der Kosten,de
Allows to add every product from the common stock location,Ermöglicht das Hinzufügen jedes Produkts aus dem allgemeinen Lagerbestand,de
"An error occurred while importing the file data, product not found with code :","Beim Importieren der Dateidaten ist ein Fehler aufgetreten, Produkt nicht gefunden mit Code :",de
"An error occurred while importing the file data, there are multiple products with code :","Beim Importieren der Dateidaten ist ein Fehler aufgetreten, es gibt mehrere Produkte mit dem Code :",de
An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.,"Beim Importieren der Dateidaten ist ein Fehler aufgetreten. Bitte wenden Sie sich an Ihren Anwendungsadministrator, um die Traceback-Protokolle zu überprüfen.",de
An incoming partial stock move has been generated (%s),Eine eingehende Teilumlagerung wurde erzeugt (%s),de
An outgoing partial stock move has been generated (%s),Es wurde eine ausgehende Teilumlagerung erzeugt (%s),de
App,App,de
App base,App-Basis,de
App stock,App Bestand,de
Archived,Archiviert,de
"Are you sure you want to change status to  ""Collected "" ?","Sind Sie sicher, dass Sie den Status in ""Gesammelt"" ändern wollen?",de
Are you sure you want to go back to provision ?,"Sind Sie sicher, dass Sie zur Vorsorge zurückkehren wollen?",de
Are you sure you want to realize this stock move?,"Sind Sie sicher, dass Sie diese Aktienbewegung realisieren wollen?",de
Are you sure you want to validate the carrier?,"Sind Sie sicher, dass Sie das Luftfahrtunternehmen validieren wollen?",de
Arrival product qty,Ankunft Produktmenge,de
Arrivals,Ankünfte,de
Arrivals History,Ankünfte Geschichte,de
Auto product tracking Nbr. order,Automatische Produktverfolgung Nr. der Bestellung,de
Auto sale tracking Nbr. order,Auto-Verkaufsverfolgung Nr. der Bestellung,de
Auto select product tracking Nbr.,Automatische Auswahl der Produktverfolgungsnummer.,de
Auto select sale tracking Nbr.,Automatische Auswahl der Verkaufsverfolgungsnummer.,de
Av. for product,Av. für Produkt,de
Availability,Verfügbarkeit,de
Availability request,Anfrage zur Verfügbarkeit,de
Available,Verfügbar,de
Available qty,Verfügbare Menge,de
Available qty for product,Verfügbare Menge des Produkts,de
Available status,Verfügbarer Status,de
Average,Durchschnitt,de
Average Price,Durchschnittlicher Preis,de
Avg outgoing quantity on 12 past months (One-off sale excluded),Durchschnittliche ausgehende Menge in den letzten 12 Monaten (einmalige Verkäufe ausgeschlossen),de
Back to provision,Zurück zu Rückstellung,de
Backorder,Rückständige Bestellungen,de
Backorder Id,Rückstand Id,de
Backorder Stock Move,Rückständige Bestände bewegen,de
Bad stock move type,Typ der schlechten Aktienbewegung,de
Barcode,Barcode,de
Barcode Type,Barcode Typ,de
Barter,Tauschhandel,de
Batchs,Chargen,de
Both source location address and delivery (to) address are required to define the delivery itinerary,"Sowohl die Adresse des Quellortes als auch die Adresse des Zielortes sind erforderlich, um die Zustellroute zu definieren.",de
Buyer,Käufer,de
Buyer/Seller,Käufer/Verkäufer,de
CSV,CSV,de
Calculate,Berechnen Sie,de
Can only be collected if validated,"Kann nur erhoben werden, wenn er validiert ist",de
