key,message,language
Acceptance,Akzeptanz,de
Acceptance required,Akzeptanz erforderlich,de
Accepted,Angenommen,de
Accepted quantity,Angenommene Menge,de
Action,Aktion,de
Action distribution sequence,Reihenfolge der Aktionsverteilung,de
Action distribution template,Vorlage für Aktionsverteilung,de
Action plan,Aktionsplan,de
Action proposed,Vorgeschlagene Maßnahme,de
Actions,Aktionen,de
Add optional control points,Optionale Kontrollpunkte hinzufügen,de
Advancement,Beförderung,de
Alert calendar,Alert-Kalender,de
"All fields related to the order will be reset, continue ?","Alle Felder, die sich auf die Bestellung beziehen, werden zurückgesetzt, weiter ?",de
Analysis,Analyse,de
Analysis Method,Analyse-Methode,de
Analysis costs,Kosten der Analyse,de
Analysis method line,Analyseverfahren Linie,de
Analysis method lines,Analyseverfahren Linien,de
Analysis methods,Analysemethoden,de
Answer comment,Antwort Kommentar,de
Answer required,Antwort erforderlich,de
Answered by,Beantwortet von,de
Answered on,Beantwortet am,de
App,App,de
App quality,Qualität der App,de
Applicable,Anwendbar,de
Automatic mail by completing quality control,Automatische Post durch Abschluss der Qualitätskontrolle,de
Branch,Zweigstelle,de
Calendar,Kalender,de
Cancel,Abbrechen,de
Canceled,Abgesagt,de
Cancelled Status,Abgebrochener Status,de
Cancelled status already exists.,"Der Status ""storniert"" ist bereits vorhanden.",de
Causal analysis,Kausalanalyse,de
Cause,Ursache,de
Cause analysis,Analyse der Ursachen,de
Causes,Verursacht,de
Causes written by,Ursachen geschrieben von,de
Causes written on,Ursachen geschrieben am,de
"Changing this value will change value of product, continue ?","Wenn Sie diesen Wert ändern, ändert sich der Wert des Produkts, weiter ?",de
Characteristic,Charakteristisch,de
Characteristic or sample does not belong to this control entry.,Das Merkmal oder die Probe gehört nicht zu dieser Kontrolleintragung.,de
Check,Siehe,de
Check conformity,Konformität prüfen,de
Choose quality process,Qualitätsprozess wählen,de
Close,Schließen Sie,de
Closed Status,Abgeschlossener Status,de
Closed status already exists.,"Der Status ""abgeschlossen"" ist bereits vorhanden.",de
Code,Code,de
Coefficient,Koeffizient,de
Company,Unternehmen,de
Compliant,Konform,de
Configuration,Konfiguration,de
Configurations by company,Konfigurationen nach Unternehmen,de
Confirm,Bestätigen Sie,de
Confirmed,Bestätigt,de
Conformity,Konformität,de
Conformity formula can not be fetched,Konformitätsformel kann nicht abgerufen werden,de
Contact,Kontakt,de
Control Frequency,Kontrolle Frequenz,de
Control Points,Kontrollpunkte,de
Control comment,Kommentar zur Kontrolle,de
Control entries,Einträge kontrollieren,de
Control entry,Eintrag kontrollieren,de
Control entry sample,Kontrolleintrag Probe,de
Control entry sample line,Kontrolleintrag Musterzeile,de
Control entry sample lines,Kontrolleintrag Probenzeilen,de
Control entry samples,Kontrolleingangsproben,de
Control plan,Kontrollplan,de
Control plan characteristics,Merkmale des Kontrollplans,de
Control plan frequencies,Häufigkeit der Kontrollpläne,de
Control plan frequency,Häufigkeit des Kontrollplans,de
Control plan line,Kontrollplan Linie,de
Control plan line characteristics,Merkmale der Kontrollplanlinie,de
Control plan lines,Linien des Kontrollplans,de
Control plans,Kontrollpläne,de
Control point,Kontrollpunkt,de
Control point list,Liste der Kontrollpunkte,de
Control point model list,Liste der Kontrollpunktmodelle,de
Control point name,Name des Kontrollpunkts,de
Control point type,Typ des Kontrollpunkts,de
Control points,Kontrollpunkte,de
Control type,Art der Kontrolle,de
Corrective,Berichtigung,de
Corrective actions,Abhilfemaßnahmen,de
Corrective actions list,Liste der Abhilfemaßnahmen,de
Costs list per decision,Kostenliste pro Entscheidung,de
Create control entry samples,Muster für die Kontrolleingabe erstellen,de
Critical,Kritisch,de
Criticality,Kritikalität,de
Custom frequency,Benutzerdefinierte Frequenz,de
Customer,Kunde,de
Customer Order,Kundenauftrag,de
Customer Order line,Kundenauftragszeile,de
Customer contact,Kontakt zum Kunden,de
Customer delivery note,Lieferschein des Kunden,de
Customer delivery note line,Kunden-Lieferscheinzeile,de
Customer signature,Unterschrift des Kunden,de
Date,Datum,de
Deadline,Deadline,de
Decision,Entscheidung,de
Decision distribution sequence,Reihenfolge der Entscheidungsfindung,de
Decision distribution template,Vorlage für die Verteilung von Entscheidungen,de
Decision making,Entscheidungsfindung,de
Decisions,Beschlüsse,de
Decisions written by,Entscheidungen geschrieben von,de
Decisions written on,Entscheidungen geschrieben am,de
Defect,Defekt,de
Defect written by,Defekt geschrieben von,de
Defect written on,Defekt geschrieben auf,de
Defects,Defekte,de
Description,Beschreibung,de
Details,Einzelheiten,de
Detected by (internal),Erkannt von (intern),de
Detection,Erkennung,de
Detection origin is customer but no customer is provided.,"Der Ursprung der Erkennung ist Kunde, aber es wird kein Kunde angegeben.",de
Detection origin is supplier but no supplier is provided.,"Der Ursprung des Nachweises ist der Lieferant, aber es wird kein Lieferant angegeben.",de
Detections,Erkennungen,de
Direct cost,Direkte Kosten,de
Distribution,Vertrieb,de
Distribution of costs per decision,Verteilung der Kosten pro Entscheidung,de
Distributions,Ausschüttungen,de
Document reference,Referenz des Dokuments,de
Documentary,Dokumentarfilm,de
Done,Erledigt,de
Draft,Entwurf,de
Earliest date,Frühestes Datum,de
Edit control points,Kontrollpunkte bearbeiten,de
Editable,Editierbar,de
Efficiency,Effizienz,de
Efficiency Criteria,Kriterien für die Effizienz,de
Efficiency checked by,Effizienz geprüft durch,de
Efficiency checked on,Effizienz geprüft am,de
Employee,Mitarbeiter,de
End date,Datum des Endes,de
Entry attrs,Eintrag attrs,de
Entry date,Eintrittsdatum,de
Entry sample line,Eintrag Musterzeile,de
"Evaluation of the conformity formula failed, please make sure that every required fields for the evaluation are filled.","Die Bewertung der Konformitätsformel ist fehlgeschlagen, bitte stellen Sie sicher, dass alle erforderlichen Felder für die Bewertung ausgefüllt sind.",de
Excepted result for formula is either true (compliant) or false (not compliant). Current result = %s,Ausgenommenes Ergebnis für die Formel ist entweder wahr (konform) oder falsch (nicht konform). Aktuelles Ergebnis = %s,de
External Diffusion,Externe Diffusion,de
File,Datei,de
Finish,Oberfläche,de
Finished,Fertige,de
Fixed amount,Fester Betrag,de
Formula,Formel,de
Frequency,Frequenz,de
From Date,Von Datum,de
Full name,Vollständiger Name,de
Generate distributions,Verteilungen generieren,de
Generate distributions for other,Erzeugen Sie Verteilungen für andere,de
Generate distributions for responsibles,Verteilungen für Verantwortliche generieren,de
Generate quality configurations,Qualitätskonfigurationen generieren,de
Generated file,Erstellte Datei,de
Gravity,Schwerkraft,de
High,Hoch,de
Identification,Identifizierung,de
In progress,In Arbeit,de
Inspector,Inspektor,de
Inspector signature,Unterschrift des Inspektors,de
Internal,Intern,de
Internal Diffusion,Interne Diffusion,de
Interne,Interne,de
Items,Artikel,de
Label,Etikett,de
Latest date,Spätester Termin,de
Level,Ebene,de
Low,Niedrig,de
Major,Major,de
Manual,Handbuch,de
Manual Identification,Manuelle Identifizierung,de
Manuf Order consummed product,Manufaktur Bestellung verbrauchter Produkte,de
Manuf Order product to consume,Manufaktur Produkt zum Verzehr bestellen,de
Manufacturing Order,Fertigungsauftrag,de
