key,message,language
%,%,de
% Charging Back Purhcases,% Aufladen von Rücksäcken,de
% consump,% Verbrauch,de
% consumption is the ratio of spent time on sold time on the task and all of it's sub tasks.,Der prozentuale Verbrauch ist das Verhältnis der für die Aufgabe und alle ihre Unteraufgaben aufgewendeten Zeit.,de
% of consumption,% des Verbrauchs,de
% of progress,% des Fortschritts,de
% prog,% prog,de
% progress is the ratio of spent time on updated time on the task and all of it's sub tasks.,Der prozentuale Fortschritt ist das Verhältnis zwischen der aufgewendeten Zeit und der aktualisierten Zeit für die Aufgabe und alle ihre Unteraufgaben.,de
%s : You must configure Business project module for company %s,%s : Sie müssen das Business-Projektmodul für das Unternehmen %s konfigurieren,de
%s is in %s and should be in Days or Hours as they are defined in Business Project module configuration,"%s ist in %s und sollte in Tagen oder Stunden angegeben werden, wie sie in der Konfiguration des Business Project-Moduls definiert sind",de
- a linked contract is not at finished status,- ein verbundener Vertrag ist noch nicht abgeschlossen,de
- a linked contract is still in progress,- ein damit verbundener Vertrag ist noch in Arbeit,de
- a linked expense line is not invoiced,- eine verknüpfte Ausgabenposition nicht in Rechnung gestellt wird,de
- a linked purchase order is not totally invoiced,- eine verknüpfte Bestellung wird nicht vollständig in Rechnung gestellt,de
- a linked purchase order is not totally invoiced or is not totally delivered,- eine verknüpfte Bestellung nicht vollständig in Rechnung gestellt oder nicht vollständig geliefert wird,de
- a linked purchase order is not totally received,- eine verknüpfte Bestellung ist nicht vollständig eingegangen,de
- a linked sale order is not totally invoiced,- ein verbundener Verkaufsauftrag nicht vollständig fakturiert ist,de
- a linked timesheet line is not invoiced,- eine verknüpfte Zeiterfassungszeile wird nicht in Rechnung gestellt,de
- a linked timesheet line that must be invoiced has not been invoiced,"- eine verknüpfte Zeiterfassungszeile, die in Rechnung gestellt werden muss, nicht in Rechnung gestellt wurde",de
1,1,de
2,2,de
3,3,de
4,4,de
5,5,de
6,6,de
A deadline is required,Eine Frist ist erforderlich,de
Action,Aktion,de
Add a new sale order line,Eine neue Auftragszeile hinzufügen,de
Add selected lines,Ausgewählte Zeilen hinzufügen,de
Address,Adresse,de
Advance payment invoices,Rechnungen mit Vorauszahlung,de
All open tasks,Alle offenen Aufgaben,de
All tasks,Alle Aufgaben,de
All tasks (tree),Alle Aufgaben (Baum),de
Allows to retrieve prices from a framework contract,Ermöglicht den Abruf von Preisen aus einem Rahmenvertrag,de
Analytic distribution,Analytische Verteilung,de
Analytic distribution required on project,Analytische Verteilung im Projekt erforderlich,de
Analytic distribution template,Vorlage für die analytische Verteilung,de
Analytic move lines,Analytische Bewegungslinien,de
Analytics,Analytik,de
App,App,de
App business project,App-Business-Projekt,de
App project,App-Projekt,de
AppBusinessProject.Blocking,AppBusinessProject.Blocking,de
Are you sure to unlink project from selected lines?,"Sind Sie sicher, dass Sie das Projekt von den ausgewählten Zeilen trennen wollen?",de
Are you sure you want to generate invoices for all selected affairs ?,"Sind Sie sicher, dass Sie Rechnungen für alle ausgewählten Angelegenheiten erstellen möchten?",de
Assigned to,Zugewiesen an,de
Attach the Annex to the invoice,Legen Sie der Rechnung den Anhang bei,de
Automatic Project,Automatisches Projekt,de
Automatic invoicing,Automatische Rechnungsstellung,de
Backup project data to project history,Sicherung von Projektdaten in der Projekthistorie,de
Batch,Stapel,de
Batches,Lose,de
Book resource,Ressource Buch,de
Business,Business,de
Business (via business proj),Business (über business proj),de
Business configuration,Business-Konfiguration,de
Business project,Geschäftliches Projekt,de
Business project batch,Geschäftsprojekt Batch,de
Business project batch filters,Batch-Filter für Geschäftsprojekte,de
Business project batches,Business-Projektchargen,de
Business project configurations,Geschäftliche Projektkonfigurationen,de
Business project tasks,Aufgaben für Unternehmensprojekte,de
Business projects,Geschäftliche Projekte,de
Cancel,Abbrechen,de
Canceled,Abgesagt,de
Characteristics,Merkmale,de
Charging Back Purchases Type,Rückbuchung von Käufen Typ,de
Client partner,Partner des Kunden,de
Closing project rule select,Projektabschlussregel auswählen,de
Code,Code,de
Comments,Kommentare,de
Company,Unternehmen,de
Completed paid project status,Status des abgeschlossenen bezahlten Projekts,de
Compute project totals,Berechnung der Projektgesamtbeträge,de
Configurations,Konfigurationen,de
Confirm Purchase order generation,Bestätigen Sie die Erstellung einer Bestellung,de
Consolidate all,Konsolidieren Sie alle,de
Consolidate phase invoicing,Konsolidierung der Phasenfakturierung,de
Consolidate sub project when invoicing,Konsolidierung von Teilprojekten bei der Rechnungsstellung,de
Consolidate the phases,Konsolidierung der Phasen,de
Content,Inhalt,de
Contract,Vertrag,de
Contracts,Verträge,de
Convert,Konvertieren,de
Convert into business project,Umwandlung in ein Geschäftsprojekt,de
Cost W.T.,Cost W.T.,de
Could not find the project id.,Die Projekt-ID konnte nicht gefunden werden.,de
Could not find the project task id.,Die ID der Projektaufgabe konnte nicht gefunden werden.,de
Create business project from this template,Geschäftsprojekt aus dieser Vorlage erstellen,de
Create invoicing project,Rechnungsstellungsprojekt erstellen,de
Create new customer contract,Neuen Kundenvertrag anlegen,de
Create new supplier contract,Neuen Lieferantenvertrag erstellen,de
Create project from this template,Projekt aus dieser Vorlage erstellen,de
Created by,Erstellt von,de
Created on,Erstellt am,de
Currency,Währung,de
Customer,Kunde,de
Customer Invoice lines,Kunden-Rechnungszeilen,de
Customer contracts,Kundenverträge,de
Customer deliveries,Lieferungen an Kunden,de
Customer invoice lines,Kundenrechnungszeilen,de
Customer invoices,Kundenrechnungen,de
Customer referral,Kundenempfehlungen,de
Date,Datum,de
Deadline,Deadline,de
Default Invoicing Product for Projects,Standard-Fakturierungsprodukt für Projekte,de
Default framework customer contract,Standard-Rahmenkundenvertrag,de
Default framework supplier contract,Standard-Rahmenlieferantenvertrag,de
Default percentage,Standard-Prozentsatz,de
Default product,Standardprodukt,de
Default value,Standardwert,de
Default value invoicing type,Vorschlagswert Fakturierungsart,de
Deliveries,Lieferungen,de
