key,message,language
Additional Partner/Contacts,Weitere Partner/Kontakte,de
Additional leads,Zusätzliche Hinweise,de
Allow the editing of the targets,Erlauben Sie die Bearbeitung der Ziele,de
"An event will be generated by target, are you sure you want to continue ?","Ein Ereignis wird durch das Ziel generiert, sind Sie sicher, dass Sie fortfahren möchten?",de
App,App,de
App marketing,App-Vermarktung,de
Assign to,Zuordnen zu,de
Assigned to,Zugewiesen an,de
Attendee,Teilnehmer,de
Attendees,Teilnehmer,de
Batchs,Chargen,de
Both,Beide,de
Campaign,Kampagne,de
Campaign Type,Kampagnen-Typ,de
Campaign reminders,Kampagnen-Erinnerungen,de
Campaign type,Kampagnen-Typ,de
Campaign types,Arten von Kampagnen,de
Campaigns,Kampagnen,de
Cancel,Abbrechen,de
Cannot generate targets. Please check lead filter of Target Model.,Es können keine Zielscheiben erzeugt werden. Bitte überprüfen Sie den Leitungsfilter des Zielmodells.,de
Cannot generate targets. Please check partner filter of Target Model.,Kann keine Ziele generieren. Bitte überprüfen Sie den Partnerfilter des Zielmodells.,de
Clear Selection,Auswahl löschen,de
Configuration,Konfiguration,de
Contact,Kontakt,de
Contact/Partner reminder template,Kontakt-/Partner-Erinnerungsvorlage,de
Contact/Partners template,Vorlage Kontakt/Partner,de
Days,Tage,de
Draft,Entwurf,de
Duration,Dauer,de
Duration type,Dauer Typ,de
Email,E-Mail,de
Email Account,E-Mail-Konto,de
Email sending log,E-Mail-Sendeprotokoll,de
Emailing,E-Mail an,de
Emailing report,Bericht per E-Mail versenden,de
Emails sent successfully,Erfolgreich gesendete E-Mails,de
End,Ende,de
End date time,Enddatum Uhrzeit,de
Ended,Beendet,de
Enrolled,Eingeschrieben,de
Error in sending an email to the following targets,Fehler beim Senden einer E-Mail an die folgenden Ziele,de
Error in sending emails. Please check the log file generated.,Fehler beim Senden von E-Mails. Bitte prüfen Sie die erzeugte Protokolldatei.,de
Event Type,Veranstaltungstyp,de
Event end,Ende der Veranstaltung,de
Event start,Beginn der Veranstaltung,de
Event type,Art der Veranstaltung,de
Events,Veranstaltungen,de
Fiscal position,Finanzielle Lage,de
Generate Events,Ereignisse generieren,de
Generate Targets,Zielvorgaben generieren,de
Generate event to the team and salesperson in charge of the partner/leads,Generierung von Ereignissen für das Team und den für den Partner/Leads zuständigen Vertriebsmitarbeiter,de
Generated emails,Erstellte E-Mails,de
Guided,Geführt,de
Hours,Stunden,de
Information,Informationen,de
Invite all targets,Alle Ziele einladen,de
Invite selected targets,Ausgewählte Ziele einladen,de
Invited,Eingeladen,de
Launch emailing,E-Mail-Versand starten,de
Lead,Blei,de
Lead Query,Lead-Abfrage,de
Lead filters,Bleifilter,de
Lead reminder template,Lead-Erinnerungsvorlage,de
Leads,Führt,de
Leads Target List,Leads Zielliste,de
Leads template,Vorlage für Leads,de
Manage an event per target,Verwalten Sie ein Ereignis pro Ziel,de
Manage attendees,Teilnehmer verwalten,de
Manual,Handbuch,de
Marketing,Marketing,de
Marketing Campaigns,Marketing-Kampagnen,de
Minutes,Protokoll,de
Name,Name,de
Not participating,Nicht teilnehmend,de
Open filtered leads,Offene gefilterte Leitungen,de
Open filtered partners,Offen gefilterte Partner,de
Open planned events,Geplante Veranstaltungen öffnen,de
Participate,Teilnehmen,de
Partner,Partner,de
Partner Query,Partner-Anfrage,de
Partner filters,Partner-Filter,de
Partner/Contacts Target List,Partner/Kontakte Zielliste,de
Partners,Partner,de
Past events,Vergangene Ereignisse,de
Plan,Plan,de
Planned,Geplant,de
Planned events,Geplante Ereignisse,de
Please add atleast one invited Partner or Lead.,Bitte fügen Sie mindestens einen eingeladenen Partner oder Lead hinzu.,de
Please select at least one template,Bitte wählen Sie mindestens eine Vorlage aus,de
Please select target,Bitte Ziel auswählen,de
Presence,Anwesenheit,de
Present at the event,Anwesend bei der Veranstaltung,de
Related to,Verwandt mit,de
Related to select,Verwandt mit wählen,de
Reminded,Erinnert,de
Reminders,Mahnungen,de
Report,Bericht,de
Results,Ergebnisse,de
Select Query type,Abfragetyp auswählen,de
Select target field,Zielfeld auswählen,de
Select type,Typ auswählen,de
Send a reminder,Eine Erinnerung senden,de
Sequence,Sequenz,de
Stage,Bühne,de
Start,Start,de
Start date time,Startdatum Uhrzeit,de
Started,Gestartet,de
Subject,Thema,de
Suspend,aussetzen.,de
Suspended,Aufgehängt,de
Target List,Zielliste,de
Target Model,Zielmodell,de
Target list,Zielliste,de
Target lists,Ziellisten,de
Targets,Ziele,de
Targets to contact,Zu kontaktierende Ziele,de
Team,Team,de
Template,Vorlage,de
Tools,Werkzeuge,de
Type,Typ,de
Weeks,Wochen,de
value:Marketing Management,value:Marketing Management,de
