key,message,language
${fullName} plan. st. move,${fullName} plan. st. move,de
${product.fullName} plan. st. move,${product.fullName} plan. st. move,de
${product.fullName} real st. move,${product.fullName} real st. move,de
${product.fullName} reserved,${product.fullName} reserved,de
"%d order invoiced successfully,","%d Bestellung erfolgreich fakturiert,",de
"%d orders invoiced successfully,","%d Aufträge erfolgreich fakturiert,",de
"%d outgoing stock move processed successfully,","%d ausgehende Lagerbewegung erfolgreich verarbeitet,",de
"%d outgoing stock moves processed successfully,","%d ausgehende Lagerbewegungen erfolgreich verarbeitet,",de
%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).,%s : Die Erstellung der Vorauszahlung ist fehlgeschlagen. Bitte konfigurieren Sie die Bankverbindung für die Firma %s und den zugehörigen Zahlungsmodus %s entweder auf der Seite des Zahlungsmodus oder in diesem Datensatz des Verkaufsauftrags %s (verborgenes Feld).,de
%s blocked : maximal accepted credit exceeded for %s.,%s blockiert: maximal akzeptierter Kredit für %s überschritten.,de
%s please configure a virtual supplier stock location for the company %s,%s bitte konfigurieren Sie einen virtuellen Lieferantenlagerort für die Firma %s,de
%s purchase order,%s-Bestellung,de
%s requested reserved,%s beantragt reserviert,de
%s sale order,%s Verkaufsauftrag,de
%s stock location,%s Lagerort,de
A list of all product categories for which to run the batch (children categories are automatically included). All products will be processed if this list is left empty (note that the batch may take a long time to run if you have a lot of products).,"Eine Liste aller Produktkategorien, für die der Stapel ausgeführt werden soll (untergeordnete Kategorien werden automatisch einbezogen). Wird diese Liste leer gelassen, werden alle Produkte verarbeitet (beachten Sie, dass die Ausführung des Stapels bei einer großen Anzahl von Produkten lange dauern kann).",de
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","Eine Liste von Verkaufsauftragszeilen, die verarbeitet werden. Die Zeilen, die ausgewählt werden können, entsprechen den folgenden Bedingungen:\nProdukt ist lagerfähig\nProdukt wird auf Lager verwaltet\nProdukt ist nicht von mrp ausgeschlossen\nVerkaufsauftrag/Angebot hat die gleiche stockLocation oder eine subLocation\nWenn MPS, Produkt muss ein Fertigprodukt sein\nLiefermenge der Zeile muss niedriger als die Gesamtmenge sein\nDie Zeile muss einer oder mehreren der mrp-Bewegungsarten entsprechen",de
A supplier partner must be selected,Ein Lieferpartner muss ausgewählt werden,de
Accepted Credit,Akzeptierter Kredit,de
Account configuration,Konto-Konfiguration,de
Accounting Batch,Buchhaltung Batch,de
Accounting Family Dashboard,Dashboard der Buchhaltungsfamilie,de
Accounting Family sale turnover (Excl. Tax) per month,Buchhaltung Familienverkaufsumsatz (ohne Steuern) pro Monat,de
Accounting cut off generation report :,Bericht über die Generierung von Rechnungsabgrenzungsposten :,de
Action,Aktion,de
Actions,Aktionen,de
Activate partial invoicing for incoming moves,Aktivieren Sie die Teilfakturierung für eingehende Umzüge,de
Activate partial invoicing for outgoing moves,Aktivieren Sie die Teilfakturierung für ausgehende Umzüge,de
Add to cart,In den Warenkorb legen,de
All invoices have been generated for this sale order.,Alle Rechnungen sind für diesen Auftrag erstellt worden.,de
Allocated Qty,Zugewiesene Menge,de
Allocated qty,Zugewiesene Menge,de
Allow Subscriptions for Sale orders,Abonnements für Verkaufsaufträge zulassen,de
Allow complete manually sale order,Manuelles Ausfüllen von Verkaufsaufträgen ermöglichen,de
Allow finish manually purchase order,Manuelles Beenden der Bestellung erlauben,de
Allow timetable invoicing,Fahrplanmäßige Rechnungsstellung zulassen,de
Amount,Betrag,de
Amount cannot be superior to the order's total excluding taxes,Der Betrag kann nicht höher sein als der Gesamtbetrag der Bestellung ohne Steuern,de
Amount invoiced W.T.,Amount invoiced W.T.,de
Amount not invoiced,Nicht in Rechnung gestellter Betrag,de
Amount remaining to use,Zu verwendende Restmenge,de
Amount to invoice,In Rechnung zu stellender Betrag,de
An active stock move (%s) already exists for the sale order %s.,Für den Verkaufsauftrag %s existiert bereits eine aktive Lagerbewegung (%s).,de
An error have been detected on following pricings : %s.,Es wurde ein Fehler bei folgenden Preisen festgestellt: %s.,de
An invoice at status draft or validated is linked to the stock move %s. Please contact the invoicing/accounting department before any changes.,"Eine Rechnung im Status ""Entwurf"" oder ""bestätigt"" ist mit der Lagerbewegung %s verknüpft. Bitte setzen Sie sich vor Änderungen mit der Abteilung Rechnungsstellung/Buchhaltung in Verbindung.",de
An invoice not canceled already exists for the incoming stock move %s,Für die eingehende Lagerbewegung %s existiert bereits eine nicht stornierte Rechnung,de
An invoice not canceled already exists for the outgoing stock move %s,Für die Ausgangsbewegung %s existiert bereits eine nicht stornierte Rechnung,de
Analytic Move Line,Analytic Move Line,de
Analytic distribution lines,Analytische Verteilungslinien,de
Analytic distribution template,Vorlage für die analytische Verteilung,de
Analytic move line,Analytische Bewegungslinie,de
Analytic move lines,Analytische Bewegungslinien,de
Analytics,Analytik,de
App,App,de
App Supplychain,App Supplychain,de
App supplychain,App Lieferkette,de
Archived,Archiviert,de
Are you sure you want to run the calculation ? Calculation can take a long time.,"Sind Sie sicher, dass Sie die Berechnung durchführen wollen? Die Berechnung kann sehr lange dauern.",de
Associated estimated delivery mrp line,Assoziierte voraussichtliche Lieferung mrp line,de
At least one sale order line must be selected,Es muss mindestens eine Verkaufsauftragszeile ausgewählt werden,de
"At least one stock move is in litigation, do you really want to validate passed for payment ?","Mindestens eine Aktienbewegung ist in einem Rechtsstreit, wollen Sie wirklich die Zahlung für gültig erklären?",de
Auto allocate during an availability request,Automatische Zuweisung bei einer Verfügbarkeitsanfrage,de
Auto allocate stock on other stock moves,Automatische Zuweisung von Aktien bei anderen Aktienbewegungen,de
Auto allocate stock on receipt,Automatische Zuteilung von Beständen bei Eingang,de
Auto fill delivery real quantity,Automatische Befüllung der Lieferung mit echter Menge,de
Auto fill receipt real quantity,Automatisches Befüllen der Quittung mit der tatsächlichen Menge,de
Auto request reserved qty,Automatische Anfrage reservierte Menge,de
Availability,Verfügbarkeit,de
Availability requests,Anfragen zur Verfügbarkeit,de
Available,Verfügbar,de
Available status,Verfügbarer Status,de
Available stock,Verfügbarer Bestand,de
Batch update stock history :,Stapelaktualisierung des Bestandsverlaufs :,de
Batches,Lose,de
Batchs,Chargen,de
Block deallocation on availability request,Blockfreigabe bei Verfügbarkeitsanfrage,de
Block delivery,Blockzustellung,de
Blocked by,Blockiert durch,de
Blocked until,Gesperrt bis,de
Blocking comment for delivery,Sperrvermerk für die Zustellung,de
Blocking delivery reason,Grund für die Liefersperre,de
Blocking delivery until,Sperrung der Lieferung bis,de
Blocking reason,Grund der Sperrung,de
Blockings,Sperrungen,de
Building quantity,Anzahl der Gebäude,de
Buyers,Einkäufer,de
Calculation End Date,Enddatum der Berechnung,de
Calculation Start Date,Startdatum der Berechnung,de
Calculation ended,Berechnung beendet,de
Calculation in progress,Berechnung in Arbeit,de
Calculation started,Berechnung gestartet,de
Can only be cancelled from drafted or confirmed forecast.,Kann nur aus der gezeichneten oder bestätigten Vorhersage storniert werden.,de
Can only be confirmed from drafted forecast.,Kann nur anhand der gezeichneten Vorhersage bestätigt werden.,de
Can only go back to confirmed if completed.,"Kann nur bestätigt werden, wenn er abgeschlossen ist.",de
Can only return to validated from finished purchase order.,Sie können nur von einer abgeschlossenen Bestellung zu einer validierten Bestellung zurückkehren.,de
Can't cancel a stock move that is partially or totally invoiced.,Eine teilweise oder vollständig in Rechnung gestellte Lagerbewegung kann nicht storniert werden.,de
Can't remove delivered detail line %s.,Die gelieferte Detailzeile %s kann nicht entfernt werden.,de
Cancel,Abbrechen,de
Cancel reason on changing sale order,Stornogrund bei Änderung des Verkaufsauftrags,de
Cancel stock allocation ?,Aktienzuteilung aufheben ?,de
Cancelled,Abgebrochen,de
Carriage paid threshold,Freibetragsschwelle,de
"Carriage paid threshold is exceeded, all shipment cost lines are removed",Bei Überschreiten des Schwellenwerts für die Frachtkosten werden alle Frachtkostenzeilen entfernt.,de
Carrier,Träger,de
Cart,Wagen,de
Cart lines,Wagenlinien,de
Carts,Karren,de
Change allocated qty,Zugewiesene Menge ändern,de
Change requested reserved qty,Änderung gewünscht reservierte Menge,de
Change reserved qty,Reservierte Menge ändern,de
Check stock compliance with stock rules,Überprüfung der Übereinstimmung der Bestände mit den Bestandsregeln,de
Check stocks in a sale order,Bestände in einem Verkaufsauftrag prüfen,de
Code,Code,de
Comment,Kommentar,de
Comments,Kommentare,de
Company,Unternehmen,de
